Content,English,,Español,,
S4 - Suggested Address - Label Select,Select the address to use,Select the address to use,Selecciona la dirección que quieres usar,Selecciona la dirección que quieres usar,
S5 - Bulk Order New Cards - Title,Do you want to request replacement DC SUN Bucks cards to be sent to this address?,Do you want to request replacement Summer EBT cards to be sent to this address?,¿Quieres solicitar que las tarjetas DC SUN Bucks de reemplazo sean enviadas a esta dirección?,¿Quieres solicitar que las tarjetas Summer EBT de reemplazo sean enviadas a esta dirección?,
S5 - Bulk Order New Cards - Body,"We can send replacement cards if

• You haven't received them in the mail after two weeks
• Or you no longer have them","We can send replacement cards if

• You haven't received them in the mail after two weeks
• Or you no longer have them","Podemos enviar tarjetas de reemplazo si

• No las has recibido por correo después de dos semanas
• O ya no las tienes","Podemos enviar tarjetas de reemplazo si

• No las has recibido por correo después de dos semanas
• O ya no las tienes",
S5 - Bulk Order New Cards Who - Title,A few things to know before replacing DC SUN Bucks cards,A few things to know before replacing Summer EBT cards,Algunas cosas a tener en cuenta antes de reemplazar las tarjetas de DC SUN Bucks,Algunas cosas a tener en cuenta antes de reemplazar las tarjetas de Summer EBT,
S5 - Bulk Order New Cards Who - Body,"Once replacement cards are created, the previous cards will be permanently deactivated
Cards will arrive by mail in around 5–7 days
You can check here to see when the card has been mailed
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Once replacement cards are created, the previous cards will be permanently deactivated
Cards will arrive by mail in around 5–7 days
You can check here to see when the card has been mailed
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Una vez que se creen las tarjetas de reemplazo, las tarjetas anteriores se desactivarán permanentemente.
Las tarjetas llegarán por correo entre 5 y 7 días, aproximadamente.
Puedes verificar aquí cuándo se ha enviado la tarjeta.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo","Una vez que se creen las tarjetas de reemplazo, las tarjetas anteriores se desactivarán permanentemente.
Las tarjetas llegarán por correo entre 5 y 7 días, aproximadamente.
Puedes verificar aquí cuándo se ha enviado la tarjeta.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo",
S5 - Bulk Order New Cards Who - Label Select Cards,Select which cards you want to replace,Select which cards you want to replace,Selecciona las tarjetas que deseas reemplazar,Selecciona las tarjetas que deseas reemplazar,
S6 - Replacement Card Address - Title,Do you want the replacement for the card ending in [9999] mailed to this address?,Do you want the replacement for the card ending in [9999] mailed to this address?,¿Deseas que el reemplazo de la tarjeta que termina en [9999] se envíe por correo a esta dirección?,¿Deseas que el reemplazo de la tarjeta que termina en [9999] se envíe por correo a esta dirección?,
S6 - Confirm Request Replacement Card - Title,A few things to know before replacing cards,A few things to know before replacing cards,Cosas que saber antes de solicitar una tarjeta de reemplazo,Cosas que saber antes de solicitar una tarjeta de reemplazo,
S6 - Confirm Request Replacement Card - Replace Card Body 1,Call Fidelity Information Services (FIS) at (888) 304-9167 to request a replacement card to be sent to your address listed here.,Call EBT Customer Service at (888) 328-2656 to request a replacement card to be sent to your address listed here.,Llama a Fidelity Information Services (FIS) al (888) 304-9167 para solicitar el envío de una tarjeta de reemplazo a la dirección que aparece aquí.,Llama a servicios al cliente de EBT al (888) 328-2656 para solicitar el envío de una tarjeta de reemplazo a la dirección que aparece aquí.,
S6 - Confirm Request Replacement Card - Replace Card Body 2,"If FIS has your current, correct address, they will process your request directly.",Hold on the line to select the lost card prompt and speak with an agent.,Mantente en la línea para elegir la opción de tarjeta perdida y hablar con un representante.,Mantente en la línea para elegir la opción de tarjeta perdida y hablar con un representante.,
S6 - Confirm Request Replacement Card - Keep Card,Keep your card for next year. Benefits will be added to your new card.,Keep your card for next year. Benefits will be added to your new card.,Guarda tu tarjeta para el próximo año. Tus beneficios serán agregados a tu nueva tarjeta,Guarda tu tarjeta para el próximo año. Tus beneficios serán agregados a tu nueva tarjeta.,
S6 - Confirm Request Replacement Card - Tap to Call,Tap to call Fidelity Information Services (FIS),Tap to call EBT Customer Service,Toca la pantalla para llamar a servicios al cliente de EBT,Toca la pantalla para llamar a servicios al cliente de EBT,
S6 - Confirm Request Replacement Card - Subtle Link,I want a replacement for the card ending in [9999] mailed to a different address,I want a replacement for the card ending in [9999] mailed to a different address,Quiero que la tarjeta que termina en [9999] me la reemplacen y la envíen por correo a una dirección diferente.,Quiero que la tarjeta que termina en [9999] me la reemplacen y la envíen por correo a una dirección diferente.,
S7 - Pin Card - Title,Activate a card,Activate a card,Activar una tarjeta,Activar una tarjeta,
S7 - Pin Card - Body,"Once you receive your child's card, call EBT Customer Service at (888) 328-2656. Follow the instructions to set the PIN number to activate the card.

When asked to ""enter your date of birth"" by the recording, do not enter your own birthday. Enter the child's birthdate in the format MONTH-DAY-YEAR.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address it was mailed to.","Once you receive your child's card, call EBT Customer Service at (888) 328-2656. Follow the instructions to set the PIN number to activate the card.

When asked to ""enter your date of birth"" by the recording, do not enter your own birthday. Enter the child's birthdate in the format MONTH-DAY-YEAR.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address it was mailed to.","Cuando recibas la tarjeta de tu hijo, llama al servicio al cliente de EBT al (888) 328-2656. Sigue las instrucciones para crear el número PIN y activar la tarjeta.

Cuando la grabación te pida que “ingreses tu fecha de nacimiento”, no pongas tu propio cumpleaños. Ingresa la fecha de nacimiento de tu hijo con el formato MES-DÍA-AÑO.

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo.","Cuando recibas la tarjeta de tu hijo, llama al servicio al cliente de EBT al (888) 328-2656. Sigue las instrucciones para crear el número PIN y activar la tarjeta.

Cuando la grabación te pida que “ingreses tu fecha de nacimiento”, no pongas tu propio cumpleaños. Ingresa la fecha de nacimiento de tu hijo con el formato MES-DÍA-AÑO.

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo.",
S7 - Pin Card - Action,Tap to call EBT Customer Service,Tap to call EBT Customer Service,Toca la pantalla para llamar a servicios al cliente de EBT,Toca la pantalla para llamar a servicios al cliente de EBT,
S8 - OTP Enter Email - Title,Enter your email and we'll send you a code to log into your DC SUN Bucks account,Enter your email and we'll send you a code to log into your DC SUN Bucks account,Ingresa tu correo electrónico y te enviaremos un código para entrar a tu cuenta de DC SUN Bucks,Ingresa tu correo electrónico y te enviaremos un código para entrar a tu cuenta de DC SUN Bucks,
S8 - OTP Enter Email - Body,If you are your child’s primary guardian enter your email to see their DC SUN Bucks information.,If you are your child’s primary guardian enter your email to see their DC SUN Bucks information.,"Si eres el cuidador principal de tu hijo, ingresa tu correo electrónico para ver su información de DC SUN Bucks.","Si eres el cuidador principal de tu hijo, ingresa tu correo electrónico para ver su información de DC SUN Bucks.","cuidador principal or ""tutor principal"" or ""representate legal?"""
S8 - OTP Enter Email - Label Email,Enter your email address,Enter your email address,Ingresa tu correo electrónico,Ingresa tu correo electrónico,
S8 - OTP Confirm - Title,Confirm the code sent to your email,Confirm the code sent to your email,Confirma el código que enviamos a tu correo electrónico ,Confirma el código que enviamos a tu correo electrónico ,
S8 - OTP Confirm - Label Code,Enter the 6 digit confirmation code,Enter the 6 digit confirmation code,Ingresa el código de confirmación de 6 dígitos,Ingresa el código de confirmación de 6 dígitos,
S8 - OTP Confirm - Label Digit 1,Enter first digit of the confirmation code,Enter first digit of the confirmation code,Ingresa el primer dígito del código de confirmación,Ingresa el primer dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 2,Enter second digit of the confirmation code,Enter second digit of the confirmation code,Ingresa el segundo dígito del código de confirmación,Ingresa el segundo dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 3,Enter third digit of the confirmation code,Enter third digit of the confirmation code,Ingresa el tercer dígito del código de confirmación,Ingresa el tercer dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 4,Enter fourth digit of the confirmation code,Enter fourth digit of the confirmation code,Ingresa el cuarto dígito del código de confirmación,Ingresa el cuarto dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 5,Enter fifth digit of the confirmation code,Enter fifth digit of the confirmation code,Ingresa el quinto dígito del código de confirmación,Ingresa el quinto dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 6,Enter sixth digit of the confirmation code,Enter sixth digit of the confirmation code,Ingresa el sexto dígito del código de confirmación,Ingresa el sexto dígito del código de confirmación,
S8 - OTP Confirm - Invalid Error Message,Enter a valid [6] digit code. Tap here to send a new code.,Enter a valid [6] digit code. Tap here to send a new code.,Ingresa un código válido de [6] dígitos. Toca aquí para enviar un código nuevo,Ingresa un código válido de [6] dígitos. Toca aquí para enviar un código nuevo.,
S8 - OTP Confirm - Action Resend,Resend code,Resend code,Reenviar el código,Reenviar el código,
S8 - OTP Confirm - Action Confirm,Confirm,Confirm,Confirmar,Confirmar,
S8 - OTP Email Message - Sender,DC SUN Bucks,DC SUN Bucks,DC SUN Bucks,DC SUN Bucks,
S8 - OTP Email Message - Subject,Your DC SUN Bucks Login Code,Your DC SUN Bucks Login Code,Tu código de acceso de DC SUN Bucks,Tu código de acceso de DC SUN Bucks,
S8 - OTP Email Message - Body 1,Use this code to log in to your account.,Use this code to log in to your account.,Usa este código para iniciar sesión en tu cuenta,Usa este código para iniciar sesión en tu cuenta,
S8 - OTP Email Message - Body 2,990011,990011,990011,990011,
S8 - OTP Email Message - Body 3,The code will expire in 10 minutes. Do not share this code with anyone.,The code will expire in 10 minutes. Do not share this code with anyone.,El código vence en 10 minutos. No compartes este código con nadie.,El código se vence en 10 minutos. No compartas este código con nadie.,
S8 - ID Proofing Optional ID Info - Title,"Thank you for confirming your email. To keep your account safe, we need check your identity","Thank you for confirming your email. To keep your account safe, we need check your identity","Gracias por confirmar tu correo electrónico. Para mantener tu cuenta segura, necesitamos verificar tu identidad","Gracias por confirmar tu correo electrónico. Para mantener tu cuenta segura, necesitamos verificar tu identidad",
S8 - ID Proofing Optional ID Info - Body,"By providing your date of birth and one ID number, you consent to sharing this information with our third-party vendor. We will only use these once and not share or save them without your permission.","By providing your date of birth and one ID number, you consent to sharing this information with our third-party vendor. We will only use these once and not share or save them without your permission. Solo utilizaremos estos datos una vez y no los compartiremos ni los guardaremos sin tu permiso.","Al proporcionar tu fecha de nacimiento y un número de identificación, aceptas compartir esta información con nuestro proveedor externo. Solo utilizaremos estos datos una vez y no los compartiremos ni los guardaremos sin tu permiso.","Al proporcionar tu fecha de nacimiento y un número de identificación, das tu consentimiento para compartir esta información con nuestro proveedor externo. Solo utilizaremos estos datos una vez y no los compartiremos ni los guardaremos sin tu permiso.",
S8 - ID Proofing Optional ID Info - Label DOB,What's your date of birth?,What's your date of birth?,¿Cuál es tu fecha de nacimiento?,¿Cuál es tu fecha de nacimiento?,
S8 - ID Proofing Optional ID Info - Label ID,Which ID number can you provide?,Which ID number can you provide?,¿Qué número de identificación puedes proporcionar?,¿Qué número de identificación puedes proporcionar?,For Spanish speakers it might be useful to clarify that only 1 number needs to be provided. I know they can only select one but this explanation might provide additional peace of mind. Just something to consider as we iterate. 
S8 - ID Proofing Optional ID Info - Helper ID,!!!,!!!,!!!,!!!,
S8 - ID Proofing Optional ID Info - Option Label SSN,Social Security Number (SSN),Social Security Number (SSN),Número de seguro social (SSN),Número de seguro social (SSN),
S8 - ID Proofing Optional ID Info - Option Label ITIN,Individual Taxpayer ID Number (ITIN),Individual Taxpayer ID Number (ITIN),Número de identificación personal del contribuyente (ITIN),Número de identificación personal del contribuyente (ITIN),
S8 - ID Proofing Optional ID Info - Option Label Medicaid ID,Medicaid ID,Medicaid ID,Medicaid ID,Medicaid ID,
S8 - ID Proofing Optional ID Info - Option Helper Medicaid ID,This number can be found on your Medicaid letters and is typically 7 or 8 digits long.,This number can be found on your Medicaid letters and is typically 7 or 8 digits long.,"
Este número puede encontrarse en tus cartas de Medicaid y suele tener 7 u 8 dígitos","
Este número puede encontrarse en tus cartas de Medicaid y suele tener 7 u 8 dígitos",
S8 - ID Proofing Optional ID Info - Option Account ID,SNAP or TANF account ID,SNAP or TANF account ID,ID de la cuenta de SNAP o TANF,ID de la cuenta de SNAP o TANF,
S8 - ID Proofing Optional ID Info - Option Helper Account ID,This number can be found on your SNAP or TANF letters and is typically 7 or 8 digits long.,This number can be found on your SNAP or TANF letters and is typically 7 or 8 digits long.,"
Este número puede encontrarse en tus cartas de SNAP o TANF y suele tener 7 u 8 dígitos.","
Este número puede encontrarse en tus cartas de SNAP o TANF y suele tener 7 u 8 dígitos.",
S8 - ID Proofing Optional ID Info - Option Person ID,SNAP or TANF person ID,SNAP or TANF person ID,ID de persona de SNAP o TANF,ID de persona de SNAP o TANF,
S8 - ID Proofing Optional ID Info - Option Helper Person ID,This number can be found on your SNAP or TANF letters and is typically 7 or 8 digits long.,This number can be found on your SNAP or TANF letters and is typically 7 or 8 digits long.,"
Este número puede encontrarse en tus cartas de SNAP o TANF  y suele tener 7 u 8 dígitos.","
Este número puede encontrarse en tus cartas de SNAP o TANF  y suele tener 7 u 8 dígitos.",
S8 - ID Proofing Optional ID Info - Label SSN,Enter your Social Security Number (SSN),Enter your Social Security Number (SSN),Ingresa tu número de seguro social (SSN),Ingresa tu número de seguro social (SSN),
S8 - ID Proofing Optional ID Info - Label ITIN,Enter your Individual Taxpayer ID Number (ITIN),Enter your Individual Taxpayer ID Number (ITIN),Ingresa tu número de identificación personal del contribuyente (ITIN),Ingresa tu número de identificación personal del contribuyente (ITIN),
S8 - ID Proofing Optional ID Info - Label Medicaid ID,Enter your Medicaid ID,Enter your Medicaid ID,Ingresa tu Medicaid ID,Ingresa tu Medicaid ID,
S8 - ID Proofing Optional ID Info - Label Account ID,Enter your SNAP or TANF account ID,Enter your SNAP or TANF account ID,Ingresa tu número de cuenta de SNAP o TANF,Ingresa tu número de cuenta de SNAP o TANF,I'm not sure if Spanish speakers will understand the difference between account ID and person ID. Do we have these terms translated elsewhere Devon Hirth - Code for America
S8 - ID Proofing Optional ID Info - Label Person ID,Enter your SNAP or TANF person ID,Enter your SNAP or TANF person ID,Ingresa tu número de ID de persona de SNAP o TANF,Ingresa tu número de ID de persona de SNAP o TANF,
S8 - Opt-in - Label Email,May we save your email ([email]@[domain.com]) to send you information about your DC SUN Bucks account?,May we save your email ([email]@[domain.com]) to send you information about your DC SUN Bucks account?,¿Podemos guardar tu correo electrónico ([email]@[domain.com]) para enviarte información sobre tu cuenta de DC SUN Bucks?,¿Podemos guardar tu correo electrónico ([email]@[domain.com]) para enviarte información sobre tu cuenta de DC SUN Bucks?,
S8 - Opt-in - Helper Email,This will help us communicate important information about your benefits.,This will help us communicate important information about your benefits.,Esto nos ayudará a enviarte información importante sobre tus beneficios.,Esto nos ayudará a enviarte información importante sobre tus beneficios.,
S8 - Opt-in - Label DOB,May we store your date of birth?,May we store your date of birth?,¿Podemos guardar tu fecha de nacimiento?,¿Podemos guardar tu fecha de nacimiento?,
S8 - Opt-in - Helper DOB,This will help us find information about your benefits more easily.,This will help us find information about your benefits more easily.,Esto nos ayudará a encontrar información sobre tus beneficios más fácilmente.,Esto nos ayudará a encontrar información sobre tus beneficios más fácilmente.,
S8 - Opt-in - Label Contact Preference,Select at least one option,Select at least one option,Selecciona al menos una opción,Selecciona al menos una opción,"Wondering if we could/should bold ""una"" here for emphasis Devon Hirth - Code for America"
S8 - Opt-in - Option Helper Phone,"If this is your preference, messaging and data rates will apply.","If this is your preference, messaging and data rates will apply.","Si esta es tu preferencia, se aplicarán tarifas de mensajes y datos.","Si esta es tu preferencia, se aplicarán tarifas de mensajes y datos.",
S8 - Opt-in - Label Enter Phone,Enter your phone number,Enter your phone number,Ingresa tu número de telefono,Ingresa tu número de telefono,
S8 - Opt-in - Label Text,May we text this phone number?,May we text this phone number?,¿Podemos enviarte mensajes de texto a este número?,¿Podemos enviarte mensajes de texto a este número?,
S8 - Off-boarding - Title,We want to keep your account safe,We want to keep your account safe,"Para confirmar tu identidad, necesitamos pedirte documentación adicional.","Para confirmar tu identidad, necesitamos pedirte documentación adicional.",
S8 - Off-boarding - Body 1,"In order to confirm your identity we need to ask for additional documentation. On the next screen, we’ll ask you to upload a photo of your ","In order to confirm your identity we need to ask for additional documentation. On the next screen, we’ll ask you to upload a photo of your ","En la siguiente pantalla te pediremos que subas una foto de tu licencia de conducir u otra identificación con foto.

También puedes volver e ingresar un número de identificación adicional.","En la siguiente pantalla te pediremos que subas una foto de tu licencia de conducir u otra identificación con foto.

También puedes volver e ingresar un número de identificación adicional.",
S8 - Off-boarding - Body 2,"driver’s license
foreign passport
or another photo ID","driver’s license
foreign passport
or another photo ID","licencia de conducir
pasaporte extranjero
u otra identificación con foto","licencia de conducir
pasaporte extranjero
u otra identificación con foto",
S8 - Off-boarding - Body 3,You can skip this step by going back and typing in your ID number instead.,You can skip this step by going back and typing in your ID number instead.,Puedes omitir este paso si regresas y escribes tu número de identificación en su lugar.,Puedes omitir este paso si regresas y escribes tu número de identificación en su lugar.,
S8 - Off-boarding - Action,Go back and enter an ID number,Enter an ID number,Ingresa un número de identificación ,Ingresa un número de identificación ,
S8 - Co-loaded Off-boarding - Title,"We're sorry, we aren't able to show your DC SUN Bucks information ","We're sorry, we aren't able to show your DC SUN Bucks information ","Lo sentimos, no podemos mostrar tu información de DC SUN Bucks","Lo sentimos, no podemos mostrar tu información de DC SUN Bucks",
S8 - Co-loaded Off-boarding - Body 1,"You can go back to enter an ID number, or contact us if you need more help.","You can go back to enter an ID number, or contact us if you need more help.",Puedes volver e ingresar un número de identificación adicional o contactarnos si necesitas más ayuda,Puedes volver e ingresar un número de identificación adicional o contactarnos si necesitas más ayuda,
S8 - Co-loaded Off-boarding - Action 1,Contact us,Contact us,Contáctanos,Contáctanos,
S8 - Co-loaded Off-boarding - Body 2,"If you’re not sure what to do, or you want to apply for DC SUN Bucks, we can help you find out if you need to apply for your child. Tap “Apply now” and enter your child’s information.","If you’re not sure what to do, or you want to apply for DC SUN Bucks, we can help you find out if you need to apply for your child. Tap “Apply now” and enter your child’s information.","Si no estás seguro de qué hacer, o si quieres aplicar para DC SUN Bucks, te podemos ayudar a saber si necesitas aplicar para tu hijo. Toca “Aplica ahora” y escribe la información de tu hijo.","Si no estás seguro de qué hacer, o si quieres aplicar para DC SUN Bucks, te podemos ayudar a saber si necesitas aplicar para tu hijo. Toca “Aplica ahora” y escribe la información de tu hijo.",
S8 - Co-loaded Off-boarding - Action 2,Apply now,Apply now,Aplica ahora,Aplica ahora,
S9 - Opt-in - Title,Would you like to get Summer EBT communication through email or SMS text?,Would you like to get Summer EBT communication through email or SMS text?,¿Te gustaría recibir los avisos de Summer EBT por correo electrónico o por mensaje de texto (SMS)?,¿Te gustaría recibir los avisos de Summer EBT por correo electrónico o por mensaje de texto (SMS)?,
S9 - Opt-in - Body,If you choose email or text we’ll continue to also mail notices to your physical address.,If you choose email or text we’ll continue to also mail notices to your physical address.,"Si eliges correo electrónico o mensajes de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.","Si eliges correo electrónico o mensajes de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.",
S9 - Opt-in - Text Description,Select this option if you want to be messaged at ([999]) [999]-[9999]. This phone number needs to be able to receive text messages and can’t be changed.,Select this option if you want to be messaged at ([999]) [999]-[9999]. This phone number needs to be able to receive text messages and can’t be changed.,Selecciona esta opción si quieres que te mandemos mensajes al ([999]) [999]-[9999]. Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.,"Selecciona esta opción si quieres que te mandemos mensajes al ([999]) [999]-[9999]. Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.
",
S9 - Email - Title,Would you like to get DC SUN Bucks notices by email [at [email]@[domain]] instead of by physical mail?,Is [email]@[domain] the best email address to use?,,,
S9 - Email - Title 2,,What's your email address?,,¿Cuál es tu correo electrónico?,
S9 - Email - Body,[We’ll ask about your phone number next.],[We’ll ask about your phone number next.],[Después te vamos a preguntar sobre tu número de teléfono.],[Después te vamos a preguntar sobre tu número de teléfono.],
S9 - Enter Email - Enter Label,Enter the best email address to use,Enter your email,¿Cuál es tu correo electrónico?,,
S9 - Enter Email - Confirm Label,Confirm email address,Confirm email address,Confirma tu correo electrónico,Confirma tu correo electrónico,
S9 - Text - Title,Would you like to get text messages about your DC SUN Bucks account?,Would you like to get text messages about your DC SUN Bucks account?,¿Te gustaría recibir mensajes de texto sobre tu cuenta de DC SUN Bucks?,¿Te gustaría recibir mensajes de texto sobre tu cuenta de DC SUN Bucks?,
S9 - Text - Which Phone Label,Is ([999]) [999]-[9999] the best phone number to text you?,Is ([999]) [999]-[9999] the best phone number to text you?,¿Es ([999]) [999]-[9999] el mejor número de teléfono para enviarte mensajes de texto?,¿Es ([999]) [999]-[9999] el mejor número de teléfono para enviarte mensajes de texto?,
S9 - Text - Enter Label,Enter the best phone number to text you,Enter the best phone number to text you,Ingresa el mejor número de teléfono para enviarte mensajes de texto,Ingresa el mejor número de teléfono para enviarte mensajes de texto,
S9 - Text - Enter Helper,This phone number needs to be able to receive text messages.,This phone number needs to be able to receive text messages.,Este número de teléfono tiene que poder recibir mensajes de texto.,Este número de teléfono tiene que poder recibir mensajes de texto.,
S9 - Text - Confirm Label,Confirm phone number,Confirm phone number,Confirma el número de teléfono,Confirma el número de teléfono,
S9 - Language - Title,Which language do you prefer to be contacted in?,Which language do you prefer to be contacted in?,¿En qué idioma prefieres que te contactemos?,¿En qué idioma prefieres que te contactemos?,
S9 - Language - Label Select Language,Select a language,Select a language,Selecciona un idioma,Selecciona un idioma,
S9 - Language - Action,Continue to my account,Continue to my account,Continuar a mi cuenta,Continuar a mi cuenta,
GLOBAL - Label - Languages,Languages,Languages,Idiomas,Idiomas,
GLOBAL - Label - Translate,Translate,Translate,Traducir,Traducir ,
GLOBAL - Options - Languages,"English
Español (Spanish)
አማርኛ (Amharic)","English
Español (Spanish)","English (inglés)
Español","Inglés (English)
Español",
GLOBAL - Language - English,English,English,Inglés (English),Inglés (English),
GLOBAL - Language - Español,Español (Spanish),Español (Spanish),Español,Español,
GLOBAL - Address Format,"[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]","[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]","[Dirección linea 1]
[Dirección linea 2]
[Ciudad], [Estado] [Código postal]","[Dirección linea 1]
[Dirección linea 2]
[Ciudad], [Estado] [Código postal]",
GLOBAL - Label First name,First name,First name,Nombre,Nombre,
GLOBAL - Helper Text - Legally as it appears,"Legally as it appears on official documents, e.g. birth certificate","Legally as it appears on official documents, e.g. birth certificate","Legalmente como aparece en documentos oficiales, ej. acta de nacimiento.","Legalmente como aparece en documentos oficiales, ej. acta de nacimiento.",
GLOBAL - Label Middle name,Middle name,Middle name,Segundo nombre,Segundo nombre,
GLOBAL - Helper Text - Optional,Optional. If they have one.,Optional. If they have one.,Opcional. Si tienes uno.,Opcional. Si tiene uno.,
GLOBAL - Label Last name,Last name,Last name,Apellido,Apellido,
GLOBAL - Action - Continue,Continue,Continue,Continuar ,Continuar,
GLOBAL - Action - Submit,Submit,Submit,Enviar,Enviar,
GLOBAL - Placeholder - Select one,- Select one -,- Select one -,- Seleccione una opción-,- Seleccione una opción-,
GLOBAL - Options - January - February,"January

February

March

April

May

June

July

August

September

October

November

December","January

February

March

April

May

June

July

August

September

October

November

December","enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre","enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre",
GLOBAL - Options - January,January,January,"enero

",enero,
GLOBAL - Options - August,August,August,agosto,agosto,
GLOBAL - Option - None of the above,None of the above,None of the above,Ninguna de las anteriores,Ninguna de las anteriores,
GLOBAL - Required Fields,Asterisks (*) indicate a required field.,Asterisks (*) indicate a required field.,Los asteriscos (*) indican que es un campo requerido.,Los asteriscos (*) indican que es un campo requerido.,
GLOBAL - Helper Select at least one,Select at least one option.,Select at least one option.,Selecciona por lo menos una opción.,Selecciona por lo menos una opción.,
GLOBAL - Email,Email,Email,Correo electrónico,Correo electrónico,
GLOBAL - Phone,Phone,Phone,Teléfono,Teléfono,
GLOBAL - Physical mail,Physical mail,Physical mail,Correo físico,Correo físico,
GLOBAL - Email address,Email address,Email address,Correo electrónico,Correo electrónico,
GLOBAL - Phone number,Phone number,Phone number,Número de teléfono,Número de teléfono,
GLOBAL - Label Send Cards to Preferred Address,Do you want us to send DC SUN Bucks cards for all of your enrolled children to your preferred address?,Do you want us to send Summer EBT cards for all of your enrolled children to your preferred address?,¿Quieres que enviemos las tarjetas Summer EBT para todos sus hijos inscritos a tu dirección de preferencia?,¿Quieres que enviemos las tarjetas Summer EBT para todos sus hijos inscritos a tu dirección de preferencia?,
GLOBAL - Co-loaded Card Helper,"If your child is eligible for DC SUN Bucks through SNAP or TANF participation, they will not receive a DC SUN Bucks card.","If your child is eligible for Summer EBT through SNAP or Colorado Works (TANF) participation, they will not receive a Summer EBT card.","Si tu hijo es elegible para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no recibirá una tarjeta Summer EBT.","Si tu hijo es elegible para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no recibirá una tarjeta Summer EBT.",
GLOBAL - Yes,Yes,Yes,Sí,Sí,
GLOBAL - No,No,No,No,No,
GLOBAL - Action - Back,Back,Back,Regresar,Regresar,
GLOBAL - Label - Select One,Select one,Select one,Selecciona una opción,Seleccione una opción,
GLOBAL - Street Address,Street address,Street address,Dirección,Dirección,
GLOBAL - Helper Street Address,"Include direction, NW, NE, SE, or SW.","Include direction, NW, NE, SE, or SW.","Incluya la dirección: NO, NE, SE o SO.","Incluya la dirección: NO, NE, SE o SO.",
GLOBAL - Street Address 2,Street address line 2,Street address line 2,"Dirección, línea 2","Dirección, línea 2",
GLOBAL - Helper Street Address 2,"For example, an apartment number, unit number, floor, or PO Box.","For example, an apartment number, unit number, floor, or PO Box.","Por ejemplo, número de apartamento, número de unidad, piso o apartado postal","Por ejemplo, número de apartamento, número de unidad, piso o apartado postal",
GLOBAL - City,City,City,Ciudad,Ciudad,
GLOBAL - Default City,Washington,   ,,   ,
GLOBAL - State or Territory,State or territory,State or territory,Estado o territorio,Estado o territorio,
GLOBAL - Default State or Territory,District of Columbia,Colorado,Colorado,Colorado,
GLOBAL - ZIP Code,ZIP Code,ZIP Code,Código postal,Código postal,
GLOBAL - Label Make Preferred Mailing Address,Do you want to make this your preferred mailing address?,Do you want to make this your preferred mailing address?,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,
GLOBAL - Apply Online,Apply online,Apply online,Aplicar en línea,Aplicar en línea,
GLOBAL - Download Application,Download Application,Download Application,Descargar la aplicación,Descargar la aplicación,
GLOBAL - Action - Log In,Log in,Log in,Iniciar sesión,Iniciar sesión,
GLOBAL - Action - Log In Esp,Iniciar sesión,Iniciar sesión,Log in ,Log in,
GLOBAL - Label - Suggested Address,Suggested address,Suggested address,Dirección sugerida,Dirección sugerida,
GLOBAL - Label - Address Entered,Address you entered,Address you entered,La dirección que ingresaste,La dirección que ingresaste,
GLOBAL - Label - Select All,Select all that apply,Select all that apply,Selecciona todas las que correspondan,Selecciona todas las que correspondan,
GLOBAL - Text,Text,Text,Texto,Texto,
