Variable Name/Key,🟡 DC English Current,⚪ SOURCE English,🟡 DC Español Current,⚪ SOURCE Español,🟡 DC Amharic Current,Notes
S1 - Personal Information - Body,Please provide your student's information in the required fields below. This tool will check if they're automatically enrolled to receive benefits.,Please provide your child's information in the required fields below. This tool will check if your child is automatically enrolled to receive benefits.,Proporciona la información de tu estudiante en los campos obligatorios a continuación. Esta herramienta comprobará si tu estudiante queda inscrito de forma automática para recibir beneficios.,Proporciona la información de tu estudiante en los campos obligatorios. Esta herramienta comprobará si tu niño/a queda inscrito de forma automática para recibir los beneficios.,,
S1 - Personal Information - Label Birthdate,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,,
S1 - Personal Information - Label Month,Month,Month,Mes,Mes,,
S1 - Personal Information - Label Day,Day,Day,Día,Día,,
S1 - Personal Information - Label Year,Year,Year,Año,Año,,
S1 - Confirm Personal Information - Title,Here's the information we have so far,Here's the information we have so far,Aquí está la información que tenemos hasta ahora,Aquí está la información que tenemos hasta ahora,,
S1 - Confirm Personal Information - Body,"Review your student's information below. You may add another to see if they need to apply, too. Tap ""Submit"" if you've finished adding your student.","Review your child(ren)'s information below. You may add another child to see if they need to apply, too. Tap ""Submit"" if you've finished adding children.","Revisa la información de tu(s) estudiantes) a continuación. Puedes agregar otro estudiante para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tus estudiantes.","Revisa la información de tu(s) niño/a(s) a continuación. Puedes agregar otro niño/a para ver si también debe aplicar. Toqua ""Enviar"" si ya terminaste de agregar a tu(s) niño/a(s).",,
S1 - Confirm Personal Information - Table Name Heading,Name,Name,Nombre,Nombre,,
S1 - Confirm Personal Information - Table Name Value,[First name] [M.] [Last name],[First name] [M.] [Last name],[Nombre] [Inicial del segundo nombre] [Apellido],[Nombre] [Inicial del segundo nombre] [Apellido],,
S1 - Confirm Personal Information - Table Birthdate Heading,Birthdate,Birthdate,Fecha de nacimiento,Fecha de nacimiento,,
S1 - Confirm Personal Information - Table Birthdate Value,"[Month], [Day] [Year]","[Month], [Day] [Year]",[día] de [mes] de [año],[día] de [mes] de [año],,
S1 - Confirm Personal Information - Table Action,Update this student's information,Update this child's information,Actualizar la información de este estudiante,Actualizar la información de este niño/a,,
S1 - Confirm Personal Information - Action Add,!N/A!,Add another child,!N/A!,Agregar otro niño/a,!N/A!,
S1 - Optional ID Information - Title,We checked our records and need more information to see if this student can get DC SUN Bucks,We checked our records and need more information to see if this child can get Summer EBT,Revisamos nuestros registros y necesitamos más información para ver si este estudiante puede recibir DC SUN Bucks,Revisamos nuestros registros y necesitamos más información para ver si este niño/a puede recibir Summer EBT,,
S1 - Optional ID Information - Body,"We suggest providing any of the student's Student ID, SNAP, or TANF numbers if you have them. We can give you a better answer about whether they are pre-approved.","We suggest providing any of the child's Student ID, SNAP, Colorado Works (TANF), or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","Sugerimos que proporciones el número de identificación estudiantil, número de SNAP, o TANF del estudiante, si los tienes. Así podemos darte una mejor respuesta sobre si ya está preaprobado(a).","Sugerimos que proporciones el número de identificación estudiantil, número de SNAP, Colorado Works (TANF) o Medicaid del niño/a, si los tienes. Así podemos darte una mejor respuesta sobre si ya están preaprobados.",,
S1 - Optional ID Information - Label Which ID,Which ID number can you provide? *,Which ID number can you provide? *,¿Qué número de identificación puedes proporcionar? *,¿Qué número de identificación puedes proporcionar?,,
S1 - Optional ID Information - Option Student ID,Unique Student ID,Unique Student ID,Identificación de estudiante única,Identificación de estudiante única,,
S1 - Optional ID Information - Option Helper Student ID,This number is the Universal Student ID Number for your student.,This number is the Universal Student ID Number for your child.,Este es el número de identificación universal de estudiante de tu(s) estudiante(s).,Este es el número de identificación universal de estudiante de tu niño/a,,
S1 - Optional ID Information - Option Medicaid ID,!N/A!,Medicaid identification number (CIN / I-CIN),!N/A!,Número de identificación de Medicaid (CIN / I-CIN),!N/A!,
S1 - Optional ID Information - Option Helper Medicaid ID,!N/A!,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,!N/A!,Este número se puede encontrar en los avisos del programa Medicaid de tu niño/a y suele tener entre 7 y 8 dígitos.,!N/A!,
S1 - Optional ID Information - Option SNAP Case Number,SNAP case number,SNAP case number,Número de caso de SNAP,Número de caso de SNAP,,
S1 - Optional ID Information - Option Helper SNAP Case Number,This number can be found on your student's SNAP program notices and is typically 7 or 8 digits long.,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa SNAP de tu estudiante y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa SNAP de tu niño/a y suele tener 7 u 8 dígitos.,,
S1 - Optional ID Information - Option TANF ID,TANF identification number,Colorado Works (TANF) identification number,Número de identificación de TANF,Número de identificación de Colorado Works (TANF),,
S1 - Optional ID Information - Option Helper TANF ID,This number can be found on your student's TANF program notices and is typically 7 or 8 digits long.,This number can be found on your child's Colorado Works (TANF) program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa TANF de tu estudiante y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa Colorado Works (TANF) de tu niño/a y suele tener 7 u 8 dígitos.,,
S1 - Optional ID Information - Label Enter Student ID,Enter their Unique Student ID,Enter their Unique Student ID,Ingresa su ID de estudiante único,Ingresa su ID de estudiante único,,
S1 - Optional ID Information - Label Enter Medicaid ID,!N/A!,Enter their Medicaid identification number (CIN / I-CIN),!N/A!,Ingresa su número de identificación de Medicaid (CIN / I-CIN),!N/A!,
S1 - Optional ID Information - Label Enter SNAP Case Number,Enter their SNAP case number,Enter their SNAP case number,Ingresa su número de caso SNAP,Ingresa su número de caso SNAP,,
S1 - Optional ID Information - Label Enter TANF ID,Enter their TANF identification number,Enter their Colorado Works (TANF) identification number,Ingresa su número de identificación TANF,Ingresa su número de identificación Colorado Works (TANF),,
S1 - Optional ID Information - Alert Action Log Into Portal,!N/A!,Contact us if you can't provide any of the suggested ID numbers.,!N/A!,Contáctanos si no puedes proporcionar ninguno de los números de identificación sugeridos.,!N/A!,
S1 - Result - Title,!N/A!,Here's the information we found,!N/A!,Aquí está la información que encontramos,!N/A!,
S1 - Result - Apply for SEBT - Title,We recommend that you fill out an application for this student,We recommend that you fill out an application for this child,"Para ayudarnos a decidir, te recomendamos que completes una solicitud para este estudiante","Para ayudarnos a decidir, te recomendamos que completes una solicitud para este niño/a",,
S1 - Result - Apply for SEBT - Body,"Students may not be automatically enrolled because we do not have enough information to confirm their eligibility. But, they may still be eligible.",Children may not be automatically enrolled because we don't have enough information to determine their eligibility. But parents or guardians can apply to see if they are eligible.,"A veces los estudiantes no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.","A veces los niños no se inscriben automáticamente porque no tenemos toda la información necesaria para ver si pueden participar. Sin embargo, igual podrían calificar.",,
S1 - Result - Apply for SEBT - Body 1,!N/A!,The following children *may not be automatically enrolled*.,!N/A!,Es posible que los siguientes niños *no estén inscritos automáticamente*.,!N/A!,
S1 - Result - Apply for SEBT - Action Apply,!N/A!,We recommend submitting a Summer EBT application for them,!N/A!,Recomendamos presentar una aplicación de Summer EBT para ellos,!N/A!,
S1 - Result - Apply for SEBT - Body 2,!N/A!,"Children may not be automatically enrolled because we do not have enough information to determine their eligibility. However, they may still be eligible.",!N/A!,"Es posible que los niños no estén inscritos automáticamente porque no tenemos suficiente información para determinar su elegibilidad. Sin embargo, aún podrían ser elegibles.",!N/A!,
S1 - Result - Apply for SEBT - Body 3,!N/A!,"To get summer [year] food benefits, you must apply by [date]. Applying for Summer EBT usually takes 10 minutes or less.",!N/A!,"Para recibir beneficios de alimentos en el verano de 2026, debes aplicar antes de [Fecha]. La solicitud para Summer EBT suele tomar 10 minutos o menos.",!N/A!,
S1 - Result - Apply for SEBT - Body 4,!N/A!,"After you apply, you will be contacted once your application is reviewed.",!N/A!,"Después de que envíes tu solicitud, te vamos a contactar cuando la revisemos.",!N/A!,
S1 - Result - Apply for SEBT - Accordion Title,How do I know if they're eligible?,How do I know if they're eligible?,¿Cómo sé si pueden calificar?,¿Cómo sé si pueden calificar?,,
S1 - Result - Apply for SEBT - Accordion Body 1,You should apply if your student attends a school that participates in the National School Lunch Program (NSLP) or School Breakfast Program (SBP).,You should apply if your child attends a school that participates in the National School Lunch Program (NSLP) or School Breakfast Program (SBP).,"Si tu estudiante va a una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP) o el Progama de Desayunos Escolares (SBP), deberías aplicar.","Si tu niño/a va a una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP) o el Progama de Desayunos Escolares (SBP), deberías aplicar.",,
S1 - Result - Apply for SEBT - Accordion Body 2,Tap here to fill out an application.,Tap here to fill out an application,Toca tu pantalla aquí para llenar una solicitud,Toca tu pantalla aquí para llenar una solicitud,,
S1 - Result - Apply for SEBT - Accordion Body 3,You may also use the dropdown below to check how much money your household can make in a year to be eligible.,You may also use the dropdown below to check how much money your household can make in a year to be eligible.,Puedes usar este menú para ver cuánto dinero puede ganar tu familia en un año para calificar,Puedes usar este menú para ver cuánto dinero puede ganar tu familia en un año para calificar.,,
S1 - Result - Apply for SEBT - Accordion Label Select Number People,Select the number of people in your household,Select the number of people in your household,Selecciona el número de personas que viven en tu hogar,Selecciona el número de personas que viven en tu hogar,,
S1 - Result - Apply for SEBT - Accordion Body Alert Income,"If your household's total gross income is less than [$28,953] every year, you are likely to be eligible. Gross income is the amount before any deductions, taxes, or expenses are taken out.","If your household's total gross income is less than [$28,953] every year, you are likely to be eligible. Gross income is the amount before any deductions, taxes, or expenses are taken out.","Si el ingreso total de tu hogar es menos de $28,953 cada año, es probable que califiques. El ingreso total es la cantidad antes de que se hagan deducciones, impuestos o gastos.","Si el ingreso total de tu hogar es menos de $28,953 cada año, es probable que califiques. El ingreso total es la cantidad antes de que se hagan deducciones, impuestos o gastos.",,
S1 - Result - Apply for SEBT - Card 1 Title,"To receive benefits for this summer, you must apply by August 25","To receive benefits for this summer, you must apply by August 25",Para recibir beneficios para este verano debes aplicar antes del 25 de agosto,Para recibir beneficios para este verano debes presentar tu solicitud antes del 25 de agosto,,
S1 - Result - Apply for SEBT - Card 1 Body,"The sooner you apply, the sooner your application will be reviewed. Applying for DC SUN Bucks usually takes 15 minutes or less.","The sooner you apply, the sooner your application will be reviewed. Applying for Summer EBT usually takes 10 minutes or less.","Mientras más pronto envíes tu aplicación, más pronto la vamos a revisar. Entregar la solicitud de DC SUN Bucks normalmente toma 15 minutos o menos.","Mientras más pronto envíes tu solicitud, más pronto la vamos a revisar. Solicitar Summer EBT normalmente toma 15 minutos o menos.",,
S1 - Result - Apply for SEBT - Card 1 Action,!N/A!,Apply for Summer EBT,!N/A!,Aplicar para Summer EBT,!N/A!,
S1 - Result - Apply for SEBT - Notify Title,Online applications open June 8 — sign up to be notified when you can apply:,Online applications open June 8 — sign up to be notified when you can apply:,Las solicitudes en línea se abrirán el 8 de junio — regístrate para recibir una notificación cuando puedas aplicar:,Las aplicaciones en línea se abrirán el 8 de junio — regístrate para recibir una notificación cuando puedas aplicar:,,
S1 - Result - Apply for SEBT - Notify Label Email,!N/A!,Enter your email address,!N/A!,Ingresa tu correo electrónico,!N/A!,
S1 - Result - Apply for SEBT - Library Applications,Copies of the paper application are also available year-round at DC public libraries.,Copies of the paper application are also available year-round at DC public libraries.,También hay copias de la solicitud disponibles en las bibliotecas públicas de DC.,También hay copias de la aplicación disponibles en las bibliotecas públicas de DC.,,
S1 - Result - Apply for SEBT - Notify Success ,!N/A!,Your email address has been submitted. We’ll notify you when the online application is available.,!N/A!,Tu correo electrónico ha sido enviado. Te avisaremos cuando la aplicación en línea esté disponible.,!N/A!,
S1 - Result - Apply for SEBT - Card 2 Title,Do you have other students in your household?,Do you have other children in your household?,¿Tienes otros estudiantes en tu hogar?,¿Tiene otros niños en tu hogar?,,
S1 - Result - Apply for SEBT - Card 2 Body,"To check if you need to submit a DC SUN Bucks application for any other students in your household, please provide their information by clicking on the button below.","To check if you need to submit a Summer EBT application for any other school-age children in your household, please provide their information by clicking on the button below.","Para verificar si necesitas aplicar para DC SUN Bucks para algún otro estudiante en tu hogar, proporciona tu información haciendo clic en el botón a continuación.","Para verificar si necesitas entregar una aplicación para Summer EBT para algún otro niño/a en tu hogar que está en edad escolar, proporciona tu información haciendo clic en el botón a continuación.",,
S1 - Result - Apply for SEBT - Card 2 Action,Check another student,Check another child,Revisar otro estudiante,Revisar otro(a) niño/a,,
S1 - Result - Streamlined Enrolled - Title,"Looks like your student is eligible, and you DO NOT need to submit an application for them","Looks like your child is eligible, and you DO NOT need to submit an application for this child",Parece que tu estudiante es elegible y NO es necesario que aplique.,Parece que tu hijo(a) califica y NO es necesario que aplique.,,
S1 - Result - Streamlined Enrolled - Body,"Based on our records, we already have all the information we need to determine your student's DC Sun Bucks eligibility for 2026.

2026 Sun Bucks benefits were issued beginning in June 2026 and expire 122 days after issuance.","Based on our records, we already have all the information we need to determine your child's Summer EBT eligibility for 2026.

2026 Summer EBT benefits were issued beginning in June 2026 and expire 122 days after issuance.","Según nuestros registros ya tenemos toda la información que necesitamos para determinar la elegibilidad de DC SUN Bucks de tu estudiante para 2026.

Los beneficios de DC SUN Bucks 2026 se emitieron a partir de junio de 2026 y vencen 122 días después de su emisión.","Según nuestros registros, ya tenemos toda la información que necesitamos para determinar la elegibilidad de Summer EBT de tu niño/a para 2026.

Los beneficios de Summer EBT 2026 se emitieron a partir de junio de 2026 y vencen 122 días después de su emisión.",,
S1 - Result - Streamlined Enrolled - Body 1,!N/A!,The following children are *likely automatically enrolled for Summer EBT for 2026*.,!N/A!,Es *probable que los siguientes niños estén inscritos automáticamente* en Summer EBT para 2026,!N/A!,
S1 - Result - Streamlined Enrolled - Alert Title,Check the DC SUN Bucks Portal to see where your student will receive their summer food benefits,Check the Summer EBT Portal to see where your children will receive their summer food benefits,Revisa el portal de DC SUN Bucks para ver dónde tus estudiantes recibirán sus beneficios de alimentos de verano,Revisa el portal de Summer EBT para ver dónde tus niños recibirán sus beneficios de alimentos de verano,,
S1 - Result - Streamlined Enrolled - Alert Body,"If they received a DC SUN Bucks card for a previous summer or your family participates in SNAP or TANF, we may issue their one-time $120 payment to the same EBT card.

If your student is new to DC SUN Bucks, or their previous DC SUN Bucks card needs to be replaced, we will mail a new card to the address we have on file. ","If they received the food benefit for a previous summer, we may issue their one-time $120 payment to the same Summer EBT card.

If your child is new to Summer EBT or their previous card needs to be replaced, we will mail a new card to the address we have on file.","Si tu estudiante recibió una tarjeta de DC SUN Bucks en un verano anterior o tu familia participa en SNAP o TANF, es posible que depositemos su pago único de $120 en la misma tarjeta EBT.

Si tu estudiante es nuevo en DC SUN Bucks o si su tarjeta anterior de DC SUN Bucks necesita ser reemplazada, enviaremos una tarjeta nueva por correo a la dirección que tenemos registrada.","Si recibieron el beneficio de alimentos el verano pasado, emitiremos su pago único de $120 a las mismas tarjetas de Summer EBT.

Si tu niño/a es nuevo en Summer EBT o si su tarjeta anterior necesita ser reemplazada, te enviaremos una nueva tarjeta por correo a la dirección que tenemos registrada.",,
S1 - Result - Streamlined Enrolled - Alert Action,"To check the mailing address we have on file, log in to the DC SUN Bucks Portal","To check the mailing address we have on file, log in to the Summer EBT Portal","Para verificar la dirección de envío que tenemos registrada, inicia sesión en el portal de DC SUN Bucks.","Para verificar la dirección de envío que tenemos registrada, inicia sesión en el portal de Summer EBT",,
S1 - Result - Streamlined Enrolled - Body 2,!N/A!,We recommend logging into the Summer EBT portal to confirm,!N/A!,Recomendamos iniciar sesión en el portal de Summer EBT para confirmar,!N/A!,
S1 - Result - Streamlined Enrolled - Body 3,!N/A!,Scroll down to view information we found about your other children.,!N/A!,Desliza hacia abajo para ver la información que encontramos sobre tus otros niños.,!N/A!,
S1 - Result - Streamlined Enrolled - Action,Go to the DC SUN Bucks Portal,Go to the Summer EBT Portal,Ve al Portal de DC SUN Bucks,Ir al Portal de Summer EBT,,
S1 - Result - Streamlined Enrolled - Card 1 Title,!N/A!,Enrolled in SNAP or Colorado Works (TANF)?,!N/A!,¿Está inscrito en el SNAP o Colorado Works (TANF)?,!N/A!,
S1 - Result - Streamlined Enrolled - Card 1 Body,!N/A!,"If your student has SNAP or Colorado Works (TANF), your Summer EBT will be loaded on the existing SNAP or TANF card on that date.",!N/A!,"Si tu estudiante tiene SNAP o Colorado Works (TANF), sus beneficios de Summer EBT se cargarán en la tarjeta de SNAP o TANF que ya tiene en esa fecha.",!N/A!,
S1 - Result - Streamlined Enrolled - Card 2 Title,Do you have other students in your household?,Do you have other children in your household?,¿Tiene otros estudiantes en tu hogar?,¿Tiene otros niños en tu hogar?,,
S1 - Result - Streamlined Enrolled - Card 2 Body,"To check if you need to submit a DC SUN Bucks application for any other students in your household, please provide their information by clicking on the button below.","To check if you need to submit a Summer EBT application for any other school-age children in your household, please provide their information by clicking on the button below.","Para verificar si necesitas aplicar para DC SUN Bucks para algún otro estudiante en tu hogar, proporciona su información haciendo clic en el botón a continuación.","Para verificar si necesita presentar una solicitud de Summer EBT para algún otro niño/a en tu hogar que está en edad escolar, proporciona su información haciendo clic en el botón a continuación.",,
S1 - Result - Streamlined Enrolled - Card 2 Action,Check another student,Check another child,Revisar otro estudiante,Revisar otro(a) niño/a,,
S1 - Result - Streamlined Enrolled - Steps Heading,!N/A!,Next steps,!N/A!,próximos pasos  ,!N/A!,
S1 - Result - None - Body 1,!N/A!,We don't have enough information for the following children.,!N/A!,No tenemos suficiente información para los siguientes niños,!N/A!,
S1 - Result - None - Body 2,!N/A!,We recommend logging into the Summer EBT portal to confirm if they are automatically enrolled.,!N/A!,Recomendamos iniciar sesión en el portal de Summer EBT para confirmar si están automaticamente inscritos.,!N/A!,
S1 - Result - Error - Title,!N/A!,Something went wrong on our end,!N/A!,Algo salió mal de nuestro lado,!N/A!,
S1 - Result - Error - Body,!N/A!,We aren’t able to able to share enrollment information for your children. You may try to check again later or continue with these next steps.,!N/A!,No podemos compartir información de inscripción de tus niños en este momento. Puedes intentar revisar de nuevo más tarde o continuar con estos siguientes pasos.,!N/A!,
S2 - Log In Disclaimer - Title,!N/A!,Log in to your Summer EBT account,!N/A!,Inicia sesión en tu cuenta de Summer EBT,!N/A!,
S2 - Log In Disclaimer - Log In Disclaimer - Body 1,!N/A!,"You can use the same login you use to access PEAK. Also, if you don't have an account, you can create one using your email address.",!N/A!,"Puedes usar el mismo inicio de sesión que utilizas para acceder al portal de PEAK. Si no tienes una cuenta, puedes crear una. ",!N/A!,
S2 - Log In Disclaimer - Log In Disclaimer - Body 2,Contact us if you need assistance logging into your account.,Contact us if you need assistance logging into your account.,Contáctanos si necesitas  ayuda para iniciar sesión en tu cuenta. ,Contáctanos si necesitas  ayuda para iniciar sesión en su cuenta. ,,
S2 - Log In Disclaimer - Log In Disclaimer - Body 3,!N/A!,Summer EBT Call Center.,!N/A!,línea de servicio al cliente de Summer EBT.,!N/A!,
S2 - Portal Dashboard - Alert Address Updated,Your mailing address has been updated,Your mailing address has been updated,Tu dirección ha sido actualizada,Tu dirección ha sido actualizada,,
S2 - Portal Dashboard - Alert Address Title,"A replacement for [[First name] [Last name], [First name] [Last name], and [First name] [Last name]] card[s] will be sent to the following address","A replacement for the card[s] ending in [[9999], [9999], and [9999],] will be sent to the following address","Se enviará una tarjeta de reemplazo para [First name] [Last name], [First name] [Last name], y [First name] [Last name]] a la siguiente dirección.","Las tarjeta terminadas en [[9999], [9999], y [9999], van a ser remplazadas y enviadas a la siguiente dirección",,
S2 - Portal Dashboard - Alert Address Body,New cards usually arrive in your mailbox within 7–10 business days. Check back here in 1–2 business days to see your updated card details.,New cards usually arrive in your mailbox within 7–10 business days. Check back here in 1–2 business days to see your updated card details.,Las tarjetas nuevas generalmente llegan por correo en un plazo de 7 a 10 días hábiles. Vuelve a consultar aquí en 1 a 2 días hábiles para ver la información actualizada de tu tarjeta.,Las tarjetas nuevas generalmente llegan por correo en un plazo de 7 a 10 días hábiles. Vuelve a consultar aquí en 1 a 2 días hábiles para ver la información actualizada de tu tarjeta.,,
S2 - Portal Dashboard - Alert Contact Updated,Your contact preferences have been updated,Your contact preferences have been updated,Se han actualizado tus preferencias de contacto,Se han actualizado tus preferencias de contacto,,
S2 - Portal Dashboard - Alert Address Update Error,There was an issue updating your mailing address. Please try again later.,There was an issue updating your mailing address. Please try again later.,Hubo un problema al actualizar su dirección postal. Vuelve a intentarlo más tarde.,Hubo un problema al actualizar tu dirección postal. Vuelve a intentarlo más tarde.,,
S2 - Portal Dashboard - Alert Contact Update Error,There was an issue updating your contact preferences. Please try again later.,There was an issue updating your contact preferences. Please try again later.,Hubo un problema al actualizar tus preferencias de contacto. Vuelve a intentarlo más tarde.,Hubo un problema al actualizar tus preferencias de contacto. Vuelve a intentarlo más tarde.,,
S2 - Portal Dashboard - Alert Card Replace Error,There was an issue requesting your replacement card. Please try again later.,There was an issue requesting your replacement card. Please try again later.,"Hubo un problema al solicitar su tarjeta de reemplazo. Por favor, inténtelo de nuevo más tarde.","Hubo un problema al solicitar su tarjeta de reemplazo. Por favor, inténtelo de nuevo más tarde.",,
S2 - Portal Dashboard - Alert Check Address Title,Is your address correct?,Is your address correct?,¿Está correcta tu dirección?,Revisa tu dirección,,
S2 - Portal Dashboard - Alert Check Address Body,Please check your preferred mailing address to make sure you can receive DC SUN Bucks cards and other mail from us.,Please check your preferred mailing address to make sure you can receive Summer EBT cards and other mail from us.,"Por favor, revisa tu dirección postal preferida para asegurarte de que puedas recibir las tarjetas DC SUN Bucks y otros envíos por correo de nuestra parte.","Por favor, revisa tu dirección postal preferida para asegurarte de que puedas recibir las tarjetas Summer EBT y otros envíos por correo de nuestra parte.",,
