S4 - Address Not Found - Action Help,,Contact us,,Contáctanos ,
S4 - Suggested Address - Title,Check the address,Check the address,Confirmar la dirección,Confirmar la dirección,
S4 - Suggested Address - Body,"We updated the address you entered. If correct, use the suggested address.","We updated the address you entered. If correct, use the suggested address.","Hemos actualizado la dirección que ingresaste. Si es correcta, selecciona la dirección sugerida.","Hemos actualizado la dirección que ingresaste. Si es correcta, selecciona la dirección sugerida.",
S4 - Suggested Address - Label Select,Select the address to use,Select the address to use,Selecciona la dirección que quieres usar,Selecciona la dirección que quieres usar,
S5 - Bulk Order New Cards - Title,Do you want to request replacement Summer EBT cards to be sent to this address?,Do you want to request replacement Summer EBT cards to be sent to this address?,¿Quieres solicitar que las tarjetas Summer EBT de reemplazo sean enviadas a esta dirección?,¿Quieres solicitar que las tarjetas Summer EBT de reemplazo sean enviadas a esta dirección?,
S5 - Bulk Order New Cards - Body 1,We can send replacement cards if,We can send replacement cards if,Podemos enviar tarjetas de reemplazo si,Podemos enviar tarjetas de reemplazo si,
S5 - Bulk Order New Cards - Body 2,"You haven't received them in the mail after two weeks
Or you no longer have them","You haven't received them in the mail after two weeks
Or you no longer have them","No las has recibido por correo después de dos semanas
O yas no las tienes","No las has recibido por correo después de dos semanas
O ya no las tienes",
S5 - Bulk Order New Cards Confirm - Title,A few things to know before replacing Summer EBT cards,A few things to know before replacing Summer EBT cards,Algunas cosas a tener en cuenta antes de reemplazar las tarjetas de Summer EBT,Algunas cosas a tener en cuenta antes de reemplazar las tarjetas de Summer EBT,
S5 - Bulk Order New Cards Confirm - Body,"Once replacement cards are created, the previous cards will be permanently deactivated
Cards will arrive by mail in around 7-10 business days
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Once replacement cards are created, the previous cards will be permanently deactivated
Cards will arrive by mail in around 5–7 days
You can check here to see when the card has been mailed
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Una vez que se creen las tarjetas de reemplazo, las tarjetas anteriores se desactivarán permanentemente.
Las tarjetas llegarán por correo entre 5 y 7 días, aproximadamente.
Puedes verificar aquí cuándo se ha enviado la tarjeta.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo","Una vez que se creen las tarjetas de reemplazo, las tarjetas anteriores se desactivarán permanentemente.
Las tarjetas llegarán por correo entre 5 y 7 días, aproximadamente.
Puedes verificar aquí cuándo se ha enviado la tarjeta.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo",
S5 - Bulk Order New Cards Confirm - Summary Title,Card order summary,Card order summary,,,
S5 - Bulk Order New Cards Confirm - Summary Address,New cards will be mailed to the following address:,New cards will be mailed to the following address:,,,
S5 - Bulk Order New Cards Who - Title,Which cards need to be replaced?,Which cards need to be replaced?,,,
S5 - Bulk Order New Cards Who - Label Select Cards,Select which cards you want to replace,Select which cards you want to replace,Selecciona las tarjetas que deseas reemplazar,Selecciona las tarjetas que deseas reemplazar,
S5 - Bulk Order New Cards Who - Who's Card,[First name] [M.] [Last name]'s card,[First name] [M.] [Last name]'s card,,,
S5 - Bulk Order New Cards Who - Card Number,Card number: [9999] (last 4 digits),Card number: [9999] (last 4 digits),,,
S5 - Bulk Order New Cards Confirm - Action,Order cards,Order cards,,,
S6 - Replacement Card - Pre-title,Replace card ending in [9999],Replace card ending in [9999],,,
S6 - Replacement Card Address - Title,Do you want the new card mailed to this address?,Do you want the new card mailed to this address?,¿Deseas que el reemplazo de la tarjeta que termina en [9999] se envíe por correo a esta dirección?,¿Deseas que el reemplazo de la tarjeta que termina en [9999] se envíe por correo a esta dirección?,
S6 - Request Replacement Card FIS - Title,A few things to know before replacing Summer EBT cards,A few things to know before replacing cards,Algunas cosas a tener en cuenta antes de reemplazar las tarjetas de Summer EBT,Cosas que saber antes de solicitar una tarjeta de reemplazo,
S6 - Request Replacement Card FIS - Replace Card Body 1,,Call EBT Customer Service at (888) 328-2656 to request a replacement card to be sent to your address listed here.,,Llama a servicios al cliente de EBT al (888) 328-2656 para solicitar el envío de una tarjeta de reemplazo a la dirección que aparece aquí.,
S6 - Request Replacement Card FIS - Replace Card Body 2,,Hold on the line to select the lost card prompt and speak with an agent.,,Mantente en la línea para elegir la opción de tarjeta perdida y hablar con un representante.,
S6 - Request Replacement Card FIS - Replace Card Body 3,,,,,
S6 - Request Replacement Card FIS - Replace Card Body 4,,You can get a new DC SUN Bucks card if you need one. Go to the portal dashboard and tap “Request a replacement card” under the child’s name that has benefits issued to a DC SUN Bucks card.,,,
S6 - Request Replacement Card FIS - Action,,Go to the dashboard,,,
S6 - Request Replacement Card FIS - Keep Card,,Keep your card for next year. Benefits will be added to your new card.,,Guarda tu tarjeta para el próximo año. Tus beneficios serán agregados a tu nueva tarjeta.,
S6 - Request Replacement Card FIS - Tap to Call,,Tap to call EBT Customer Service,,Toca la pantalla para llamar a servicios al cliente de EBT,
S6 - Request Replacement Card FIS - Subtle Link,,I want a replacement for the card ending in [9999] mailed to a different address,,Quiero que la tarjeta que termina en [9999] me la reemplacen y la envíen por correo a una dirección diferente.,
S6 - Confirm Request Replacement Card - Title,A few things to know before replacing Summer EBT cards,A few things to know before replacing Summer EBT cards,Ingresa tu correo electrónico y te enviaremos un código para entrar a tu cuenta de DC SUN Bucks,,
S6 - Confirm Request Replacement Card - Body,"Once a replacement card is created, the previous card will be permanently deactivated
Cards will arrive by mail in around 7-10 business days
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Once a replacement card is created, the previous card will be permanently deactivated
Cards will arrive by mail in around 7-10 business days
Any remaining balance on the previous card will automatically be rolled over to the replacement card",Llama a servicios al cliente de EBT al (888) 328-2656 para solicitar el envío de una tarjeta de reemplazo a la dirección que aparece aquí.,,
S6 - Confirm Request Replacement Card - Summary Title,Card order summary,Card order summary,,,
S6 - Confirm Request Replacement Card - Summary Address,A new card will be mailed to the following address:,A new card will be mailed to the following address:,,,
S6 - Confirm Request Replacement Card - Action,Order card,Order card,,,
S7 - Pin Card - Title,Activate a card,Activate a card,Activar una tarjeta,Activar una tarjeta,
S7 - Pin Card - Body,"Your child's card is active when it's mailed to you. To make purchases, you will need to set the card's PIN number. You may call EBT Customer Service at (888) 328-2656 and follow the instructions to set the PIN number.

Enter the child's birthdate in the format MONTH-DAY-YEAR.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address it was mailed to.","Once you receive your child's card, call EBT Customer Service at (888) 328-2656. Follow the instructions to set the PIN number to activate the card.

When asked to ""enter your date of birth"" by the recording, do not enter your own birthday. Enter the child's birthdate in the format MONTH-DAY-YEAR.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address it was mailed to.","La tarjeta de tu hijo(a) queda activa en el momento en que se envía por correo. Para hacer compras, tendrás que establecer el número de PIN de la tarjeta. Puedes llamar al Servicio al Cliente de EBT al (888) 328-2656 y seguir las instrucciones para establecer el PIN.

Ingresa la fecha de nacimiento de tu hijo(a) en el formato MES-DÍA-AÑO.

Cuando se te pida que ingreses el código postal de la persona titular principal de la tarjeta, ingresa el código postal de la dirección a la que se envió por correo.","Cuando recibas la tarjeta de tu hijo, llama al servicio al cliente de EBT al (888) 328-2656. Sigue las instrucciones para crear el número PIN y activar la tarjeta.

Cuando la grabación te pida que “ingreses tu fecha de nacimiento”, no pongas tu propio cumpleaños. Ingresa la fecha de nacimiento de tu hijo con el formato MES-DÍA-AÑO.

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo.",
S7 - Pin Card - Action,Tap to call EBT Customer Service,Tap to call EBT Customer Service,Toca la pantalla para llamar a servicios al cliente de EBT,Toca la pantalla para llamar a servicios al cliente de EBT,
S8 - OTP Enter Email - Title,,Enter your email and we'll send you a code to log into your DC SUN Bucks account,"Si eres el cuidador principal de tu hijo, ingresa tu correo electrónico para ver su información de DC SUN Bucks.",Ingresa tu correo electrónico y te enviaremos un código para entrar a tu cuenta de DC SUN Bucks,
S8 - OTP Enter Email - Body,,If you are your child’s primary guardian enter your email to see their DC SUN Bucks information.,Ingresa tu correo electrónico,"Si eres el cuidador principal de tu hijo, ingresa tu correo electrónico para ver su información de DC SUN Bucks.",
S8 - OTP Enter Email - Label Email,,Enter your email address,Confirma el código que enviamos a tu correo electrónico ,Ingresa tu correo electrónico,
S8 - OTP Confirm - Title,,Confirm the code sent to your email,Ingresa el código de confirmación de 6 dígitos,Confirma el código que enviamos a tu correo electrónico ,
S8 - OTP Confirm - Label Code,,Enter the 6 digit confirmation code,Ingresa el primer dígito del código de confirmación,Ingresa el código de confirmación de 6 dígitos,
S8 - OTP Confirm - Label Digit 1,,Enter first digit of the confirmation code,Ingresa el segundo dígito del código de confirmación,Ingresa el primer dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 2,,Enter second digit of the confirmation code,Ingresa el tercer dígito del código de confirmación,Ingresa el segundo dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 3,,Enter third digit of the confirmation code,Ingresa el cuarto dígito del código de confirmación,Ingresa el tercer dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 4,,Enter fourth digit of the confirmation code,Ingresa el quinto dígito del código de confirmación,Ingresa el cuarto dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 5,,Enter fifth digit of the confirmation code,Ingresa el sexto dígito del código de confirmación,Ingresa el quinto dígito del código de confirmación,
S8 - OTP Confirm - Label Digit 6,,Enter sixth digit of the confirmation code,Ingresa un código válido de [6] dígitos. Toca aquí para enviar un código nuevo.,Ingresa el sexto dígito del código de confirmación,
S8 - OTP Confirm - Invalid Error Message,,Enter a valid [6] digit code. Tap here to send a new code.,Reenviar el código,Ingresa un código válido de [6] dígitos. Toca aquí para enviar un código nuevo.,
S8 - OTP Confirm - Action Resend,,Resend code,Confirmar,Reenviar el código,
S8 - OTP Confirm - Action Confirm,,Confirm,DC SUN Bucks,Confirmar,
S8 - OTP Email Message - Sender,,DC SUN Bucks,Tu código de acceso de DC SUN Bucks,DC SUN Bucks,
S8 - OTP Email Message - Subject,,Your DC SUN Bucks Login Code,Usa este código para iniciar sesión en tu cuenta,Tu código de acceso de DC SUN Bucks,
S8 - OTP Email Message - Body 1,,Use this code to log in to your account.,990011,Usa este código para iniciar sesión en tu cuenta,
S8 - OTP Email Message - Body 2,,990011,El código se vence en 10 minutos. No compartas este código con nadie.,990011,
S8 - OTP Email Message - Body 3,,The code will expire in 10 minutes. Do not share this code with anyone.,"Gracias por confirmar tu correo electrónico. Para mantener tu cuenta segura, necesitamos verificar tu identidad",El código se vence en 10 minutos. No compartas este código con nadie.,
S8 - ID Proofing Optional ID Info - Title,,"Thank you for confirming your email. To keep your account safe, we need check your identity","Al proporcionar tu fecha de nacimiento y un número de identificación, das tu consentimiento para compartir esta información con nuestro proveedor externo. Solo utilizaremos estos datos una vez y no los compartiremos ni los guardaremos sin tu permiso.","Gracias por confirmar tu correo electrónico. Para mantener tu cuenta segura, necesitamos verificar tu identidad",
S8 - ID Proofing Optional ID Info - Body,,"By providing your date of birth and one ID number, you consent to sharing this information with our third-party vendor. We will only use these once and not share or save them without your permission.  ",¿Cuál es tu fecha de nacimiento?,"Al proporcionar tu fecha de nacimiento y un número de identificación, das tu consentimiento para compartir esta información con nuestro proveedor externo. Solo utilizaremos estos datos una vez y no los compartiremos ni los guardaremos sin tu permiso.",
S8 - ID Proofing Optional ID Info - Label DOB,,What's your date of birth?,¿Qué número de identificación puedes proporcionar?,¿Cuál es tu fecha de nacimiento?,
S8 - ID Proofing Optional ID Info - Label ID,,Which ID number can you provide?,!!!,¿Qué número de identificación puedes proporcionar?,
S8 - ID Proofing Optional ID Info - Helper ID,,!!!,Número de seguro social (SSN),!!!,
S8 - ID Proofing Optional ID Info - Option Label SSN,,Social Security Number (SSN),Número de identificación personal del contribuyente (ITIN),Número de seguro social (SSN),
S8 - ID Proofing Optional ID Info - Option Label ITIN,,Individual Taxpayer ID Number (ITIN),Medicaid ID,Número de identificación personal del contribuyente (ITIN),
S8 - ID Proofing Optional ID Info - Option Label Medicaid ID,,Medicaid ID,"
Este número puede encontrarse en tus cartas de Medicaid y suele tener 7 u 8 dígitos",ID de Medicaid,
S8 - ID Proofing Optional ID Info - Option Helper Medicaid ID,,This number can be found on your Medicaid letters and is typically 7 or 8 digits long.,ID de la cuenta de SNAP o TANF,"
Este número puede encontrarse en tus cartas de Medicaid y suele tener 7 u 8 dígitos",
S8 - ID Proofing Optional ID Info - Option Account ID,,SNAP or TANF account ID,"
Este número puede encontrarse en tus cartas de SNAP o TANF y suele tener 7 u 8 dígitos.",ID de la cuenta de SNAP o TANF,
S8 - ID Proofing Optional ID Info - Option Helper Account ID,,This number can be found on your SNAP or TANF letters and is typically 7 or 8 digits long.,ID de persona de SNAP o TANF,"
Este número puede encontrarse en tus cartas de SNAP o TANF y suele tener 7 u 8 dígitos.",
S8 - ID Proofing Optional ID Info - Option Person ID,,SNAP or TANF person ID,"
Este número puede encontrarse en tus cartas de SNAP o TANF  y suele tener 7 u 8 dígitos.",ID de persona de SNAP o TANF,
S8 - ID Proofing Optional ID Info - Option Helper Person ID,,This number can be found on your SNAP or TANF letters and is typically 7 or 8 digits long.,Ingresa tu número de seguro social (SSN),Este número puede encontrarse en tus cartas de SNAP o TANF  y suele tener 7 u 8 dígitos.,
S8 - ID Proofing Optional ID Info - Label SSN,,Enter your Social Security Number (SSN),Ingresa tu número de identificación personal del contribuyente (ITIN),Ingresa tu número de seguro social (SSN),
S8 - ID Proofing Optional ID Info - Label ITIN,,Enter your Individual Taxpayer ID Number (ITIN),Ingresa tu Medicaid ID,Ingresa tu número de identificación personal del contribuyente (ITIN),
S8 - ID Proofing Optional ID Info - Label Medicaid ID,,Enter your Medicaid ID,Ingresa tu número de cuenta de SNAP o TANF,Ingresa tu ID de Medicaid,
S8 - ID Proofing Optional ID Info - Label Account ID,,Enter your SNAP or TANF account ID,Ingresa tu número de ID de persona de SNAP o TANF,Ingresa tu número de cuenta de SNAP o TANF,
S8 - ID Proofing Optional ID Info - Label Person ID,,Enter your SNAP or TANF person ID,¿Podemos guardar tu correo electrónico ([email]@[domain.com]) para enviarte información sobre tu cuenta de DC SUN Bucks?,Ingresa tu número de ID de persona de SNAP o TANF,
S8 - Opt-in - Label Email,,May we save your email ([email]@[domain.com]) to send you information about your DC SUN Bucks account?,Esto nos ayudará a enviarte información importante sobre tus beneficios.,¿Podemos guardar tu correo electrónico ([email]@[domain.com]) para enviarte información sobre tu cuenta de DC SUN Bucks?,
S8 - Opt-in - Helper Email,,This will help us communicate important information about your benefits.,¿Podemos guardar tu fecha de nacimiento?,Esto nos ayudará a enviarte información importante sobre tus beneficios.,
S8 - Opt-in - Label DOB,,May we store your date of birth?,Esto nos ayudará a encontrar información sobre tus beneficios más fácilmente.,¿Podemos guardar tu fecha de nacimiento?,
S8 - Opt-in - Helper DOB,,This will help us find information about your benefits more easily.,Selecciona al menos una opción,Esto nos ayudará a encontrar información sobre tus beneficios más fácilmente.,
S8 - Opt-in - Label Contact Preference,,Select at least one option,"Si esta es tu preferencia, se aplicarán tarifas de mensajes y datos.",Selecciona al menos una opción,
S8 - Opt-in - Option Helper Phone,,"If this is your preference, messaging and data rates will apply.",Ingresa tu número de telefono,"Si esta es tu preferencia, se aplicarán tarifas de mensajes y datos.",
S8 - Opt-in - Label Enter Phone,,Enter your phone number,¿Podemos enviarte mensajes de texto a este número?,Ingresa tu número de telefono,
S8 - Opt-in - Label Text,,May we text this phone number?,"Para confirmar tu identidad, necesitamos pedirte documentación adicional.",¿Podemos enviarte mensajes de texto a este número?,
S8 - Off-boarding - Title,,We want to keep your account safe,"En la siguiente pantalla te pediremos que subas una foto de tu licencia de conducir u otra identificación con foto.

También puedes volver e ingresar un número de identificación adicional.",Queremos mantener tu cuenta segura,
S8 - Off-boarding - Body 1,,"In order to confirm your identity we need to ask for additional documentation. On the next screen, we’ll ask you to upload a photo of your ","licencia de conducir
pasaporte extranjero
u otra identificación con foto","Para confirmar tu identidad, necesitamos pedir documentación adicional. En la siguiente pantalla, te pediremos que subas una foto de tu",
S8 - Off-boarding - Body 2,,"driver’s license
foreign passport
or another photo ID",Puedes omitir este paso si regresas y escribes tu número de identificación en su lugar.,"licencia de conducir
pasaporte extranjero
u otra identificación con foto",
S8 - Off-boarding - Body 3,,You can skip this step by going back and typing in your ID number instead.,,Puedes omitir este paso si regresas y escribes tu número de identificación en su lugar.,
S8 - Off-boarding - Action,,Enter an ID number,Ingresa un número de identificación ,Ingresa un número de identificación ,
S8 - Co-loaded Off-boarding - Title,"We're sorry, we aren't able to show your Summer EBT information ","We're sorry, we aren't able to show your DC SUN Bucks information ","Lo sentimos, no podemos mostrar tu información de DC SUN Bucks","Lo sentimos, no podemos mostrar tu información de DC SUN Bucks",
S8 - Co-loaded Off-boarding - Body 1,You can contact us if you need more help.,"You can go back to enter an ID number, or contact us if you need more help.",Puedes contactarnos si necesitas más ayuda.,Puedes volver e ingresar un número de identificación adicional o contactarnos si necesitas más ayuda,
S8 - Co-loaded Off-boarding - Action 1,Contact us,Contact us,Contáctanos,Contáctanos,
S8 - Co-loaded Off-boarding - Body 2,"If you’re not sure what to do, or you want to apply for Summer EBT, we can help you find out if you need to apply for your child. Tap “Apply now” and enter your child’s information.","If you’re not sure what to do, or you want to apply for DC SUN Bucks, we can help you find out if you need to apply for your child. Tap “Apply now” and enter your child’s information.","Si no estás seguro de qué hacer, o si quieres aplicar para DC SUN Bucks, te podemos ayudar a saber si necesitas aplicar para tu hijo. Toca “Aplica ahora” y escribe la información de tu hijo.","Si no estás seguro de qué hacer, o si quieres aplicar para DC SUN Bucks, te podemos ayudar a saber si necesitas aplicar para tu hijo. Toca “Aplica ahora” y escribe la información de tu hijo.",
S8 - Co-loaded Off-boarding - Action 2,Apply now,Apply now,Aplica ahora,Aplica ahora,
S9 - Opt-in - Title,Would you like to get Summer EBT communication through email or SMS text?,Would you like to get Summer EBT communication through email or SMS text?,¿Te gustaría recibir los avisos de Summer EBT por correo electrónico o por mensaje de texto (SMS)?,¿Te gustaría recibir los avisos de Summer EBT por correo electrónico o por mensaje de texto (SMS)?,
S9 - Opt-in - Body,If you choose email or text we’ll continue to also mail notices to your physical address.,If you choose email or text we’ll continue to also mail notices to your physical address.,"Si eliges correo electrónico o mensajes de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.","Si eliges correo electrónico o mensajes de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.",
S9 - Opt-in - Text Description,Select this option if you want to be messaged at ([999]) [999]-[9999]. This phone number needs to be able to receive text messages and can’t be changed.,Select this option if you want to be messaged at ([999]) [999]-[9999]. This phone number needs to be able to receive text messages and can’t be changed.,"Selecciona esta opción si quieres que te mandemos mensajes al ([999]) [999]-[9999]. Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.
","Selecciona esta opción si quieres que te mandemos mensajes al ([999]) [999]-[9999]. Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.
",
S9 - Email - Title,Would you like to get Summer EBT notices by email [at [email]@[domain]] instead of by physical mail?,Is [email]@[domain] the best email address to use?,¿Te gustaría recibir avisos de Summer EBT por correo electrónico al [at [email]@[domain]]  en lugar de por correo postal?,¿[email]@[domain] es el mejor correo electrónico para usar?,
S9 - Email - Title 2,What's your email address?,What's your email address?,¿Cuál es tu correo electrónico?,¿Cuál es tu correo electrónico?,
S9 - Email - Body,[We’ll ask about your phone number next.],[We’ll ask about your phone number next.],[Después te vamos a preguntar sobre tu número de teléfono.],[Después te vamos a preguntar sobre tu número de teléfono.],
S9 - Enter Email - Enter Label,Enter your email,Enter your email,Ingresa tu correo electrónico,Ingresa tu correo electrónico,
S9 - Enter Email - Confirm Label,Confirm email address,Confirm email address,Confirma tu correo electrónico,Confirma tu correo electrónico,
S9 - Text - Title,Would you like to get text messages about your Summer EBT account?,Would you like to get text messages about your DC SUN Bucks account?,¿Te gustaría recibir mensajes de texto sobre tu cuenta de Summer EBT?,¿Te gustaría recibir mensajes de texto sobre tu cuenta de DC SUN Bucks?,
S9 - Text - Which Phone Label,Is ([999]) [999]-[9999] the best phone number to text you?,Is ([999]) [999]-[9999] the best phone number to text you?,¿Es ([999]) [999]-[9999] el mejor número de teléfono para enviarte mensajes de texto?,¿Es ([999]) [999]-[9999] el mejor número de teléfono para enviarte mensajes de texto?,
S9 - Text - Enter Label,Enter the best phone number to text you,Enter the best phone number to text you,Ingresa el mejor número de teléfono para enviarte mensajes de texto,Ingresa el mejor número de teléfono para enviarte mensajes de texto,
S9 - Text - Enter Helper,This phone number needs to be able to receive text messages.,This phone number needs to be able to receive text messages.,Este número de teléfono tiene que poder recibir mensajes de texto.,Este número de teléfono tiene que poder recibir mensajes de texto.,
S9 - Text - Confirm Label,Confirm phone number,Confirm phone number,Confirma el número de teléfono,Confirma el número de teléfono,
S9 - Language - Title,Which language do you prefer to be contacted in?,Which language do you prefer to be contacted in?,¿En qué idioma prefieres que te contactemos?,¿En qué idioma prefieres que te contactemos?,
S9 - Language - Label Select Language,Select a language,Select a language,Selecciona un idioma,Selecciona un idioma,
S9 - Language - Action,Continue to the portal,Continue to my account,Continuar a mi cuenta,Continuar a mi cuenta,
GLOBAL - Profile Address Stub,"Your mailing address
123 Example Street
City, ST 12345","Your mailing address
123 Example Street
City, ST 12345","","",""
GLOBAL - Profile Address Back To Dashboard,Return to dashboard,Return to dashboard,,,
GLOBAL - Ial Guard Title,Action needed before continuing,Action needed before continuing,,,
GLOBAL - Ial Guard Body,To continue, you need to verify your identity.,To continue, you need to verify your identity.,,,
GLOBAL - Ial Guard Action Verify,Verify my identity,Verify my identity,,,
GLOBAL - Ial Guard Action Continue,Continue with limited access,Continue with limited access,,,
S10 - Step-up Disclaimer - Title,Please wait...,Please wait...,,,
S10 - Step-up Disclaimer - Body,Do not exit the page. Checking to see if we have enough information.,Do not exit the page. Checking to see if we have enough information.,,,
S10 - Step-up Failure - Title,"We're sorry, we aren't able to show your Summer EBT information","We're sorry, we aren't able to show your Summer EBT information",,,
S10 - Step-up Failure - Body,You can contact us if you need more help.,You can contact us if you need more help.,,,
S10 - Step-up Failure - Action,Contact us,Contact us,Contáctanos,Contáctanos,
S10 - Step-up Failure - Continue,Return to dashboard,Return to dashboard,,,
GLOBAL - Program Name,Summer EBT,Summer EBT,Summer EBT,Summer EBT,
GLOBAL - Language,Language,Language,Idioma,Idioma,
GLOBAL - Label - Languages,Languages,Languages,Idiomas,Idiomas,
GLOBAL - Label - Translate,Translate,Translate,Traducir,Traducir ,
GLOBAL - Options - Languages,"English
Español (Spanish)","English
Español (Spanish)","English (Inglés)
Español","Inglés (English)
Español",
GLOBAL - Language - English,English,English,Inglés (English),Inglés (English),
GLOBAL - Language - Español,Español (Spanish),Español (Spanish),Español,Español,
GLOBAL - Language - Amharic,,አማርኛ (Amharic),,አማርኛ (Amárico),
GLOBAL - Address Format,"[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]","[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]","[Dirección linea 1]
[Dirección linea 2]
[Ciudad], [Estado] [Código postal]","[Dirección linea 1]
[Dirección linea 2]
[Ciudad], [Estado] [Código postal]",
GLOBAL - Label First name,First name,First name,Nombre,Nombre,
GLOBAL - Helper Text - Legally as it appears,"Legally as it appears on official documents, e.g. birth certificate","Legally as it appears on official documents, e.g. birth certificate","Legalmente como aparece en documentos oficiales, ej. acta de nacimiento.","Legalmente como aparece en documentos oficiales, ej. acta de nacimiento.",
GLOBAL - Label Middle name,Middle name,Middle name,Segundo nombre,Segundo nombre,
GLOBAL - Helper Text - Optional,Optional. If they have one.,Optional. If they have one.,Opcional. Si tiene uno.,Opcional. Si tienes uno.,
GLOBAL - Label Last name,Last name,Last name,Apellido,Apellido,
GLOBAL - Action - Continue,Continue,Continue,Continuar,Continuar,
GLOBAL - Action - Submit,Submit,Submit,Enviar,Enviar,
GLOBAL - Placeholder - Select one,- Select one -,- Select one -,- Selecciona una opción-,- Seleccione una opción-,
GLOBAL - Options - January - February,"January

February

March

April

May

June

July

August

September

October

November

December","January

February

March

April

May

June

July

August

September

October

November

December","enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre","enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre",
GLOBAL - Options - January,January,January,enero,enero,
GLOBAL - Options - August,August,August,agosto,agosto,
GLOBAL - Option - None of the above,None of the above,None of the above,Ninguna de las anteriores,Ninguna de las anteriores,
GLOBAL - Required Fields,Asterisks (*) indicate a required field.,Asterisks (*) indicate a required field.,Los asteriscos (*) indican que es un campo requerido.,Los asteriscos (*) indican que es un campo requerido.,
GLOBAL - Helper Select at least one,Select at least one option.,Select at least one option.,Seleccions por lo menos una opción.,Selecciona por lo menos una opción.,
GLOBAL - Email,Email,Email,Correo electrónico,Correo electrónico,
GLOBAL - Phone,Phone,Phone,Teléfono,Teléfono,
GLOBAL - Physical mail,Physical mail,Physical mail,Correo físico,Correo físico,
GLOBAL - Email address,Email address,Email address,Correo electrónico,Correo electrónico,
GLOBAL - Phone number,Phone number,Phone number,Número de teléfono,Número de teléfono,
GLOBAL - Label Send Cards to Preferred Address,Do you want us to send Summer EBT cards for all of your enrolled children to your preferred address?,Do you want us to send Summer EBT cards for all of your enrolled children to your preferred address?,¿Quieres que enviemos las tarjetas Summer EBT para todos sus hijos inscritos a tu dirección de preferencia?,¿Quieres que enviemos las tarjetas Summer EBT para todos sus hijos inscritos a tu dirección de preferencia?,
GLOBAL - Co-loaded Card Helper,"If your child is eligible for Summer EBT through SNAP or Colorado Works (TANF) participation, they will not receive a Summer EBT card.","If your child is eligible for Summer EBT through SNAP or Colorado Works (TANF) participation, they will not receive a Summer EBT card.","Si tu hijo es elegible para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no recibirá una tarjeta Summer EBT.","Si tu hijo es elegible para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no recibirá una tarjeta Summer EBT.",
GLOBAL - Co-loaded Card Helper Link,,Tap here to learn how to replace SNAP or TANF EBT cards,,,
GLOBAL - Yes,Yes,Yes,Sí,Sí,
GLOBAL - No,No,No,No,No,
GLOBAL - Action - Back,Back,Back,Regresar,Regresar,
GLOBAL - Label - Select One,Select one,Select one,Selecciona una opción,Selecciona una opción,
GLOBAL - Street Address,Street address,Street address,Dirección,Dirección,
GLOBAL - Helper Street Address,"Include direction, NW, NE, SE, or SW.","Include direction, NW, NE, SE, or SW.","Incluya la dirección: NO, NE, SE o SO.","Incluya la dirección: NO, NE, SE o SO.",
GLOBAL - Street Address 2,Street address line 2,Street address line 2,"Dirección, línea 2","Dirección, línea 2",
GLOBAL - Helper Street Address 2,"For example, an apartment number, unit number, floor, or PO Box.","For example, an apartment number, unit number, floor, or PO Box.","Por ejemplo, número de apartamento, número de unidad, piso o apartado postal","Por ejemplo, número de apartamento, número de unidad, piso o apartado postal",
GLOBAL - City,City,City,Ciudad,Ciudad,
GLOBAL - Default City,   ,   ,   ,   ,
GLOBAL - State or Territory,State or territory,State or territory,Estado o territorio,Estado o territorio,
GLOBAL - Default State or Territory,Colorado,Colorado,Colorado,Colorado,
GLOBAL - ZIP Code,ZIP Code,ZIP Code,Código postal,Código postal,
GLOBAL - Label Make Preferred Mailing Address,Do you want to make this your preferred mailing address?,Do you want to make this your preferred mailing address?,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,
GLOBAL - Apply Online,Continue your application,Apply online,Continua tu aplicación,Aplicar en línea,
GLOBAL - Sign Up,Download Application,Sign up,Descargar la aplicación,,
GLOBAL - Download Application,,Download Application,,Descargar la aplicación,
