Variable Name/Key,🟢 CO English Current,SOURCE English,🟢 CO Español Current,SOURCE Español,Notes
S2 - Portal Dashboard - Section - Enrolled Children Body 1,"The following children are enrolled in Summer EBT. If you would like to submit an application for a child who isn't enrolled, you may",PROBLEM,"Los siguientes niños han sido inscritos automáticamente en Summer EBT. Si quieres, puedes aplicar para un niño que no está inscrito.",PROBLEM,
S2 - Portal Dashboard - Section - Enrolled Children Body 2,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Section - Enrolled Children Action,submit a Summer EBT application.,PROBLEM,Aplicar para Summer EBT.,PROBLEM,
S2 - Portal Dashboard - Section - Applications Heading,Summer EBT Applications,PROBLEM,Solicitudes de Summer EBT,PROBLEM,
S2 - Portal Dashboard - Section - Applications Body,Here are your Summer EBT applications for children who haven't been automatically enrolled.,PROBLEM,Aquí están tus solicitudes de Summer EBT para los niños que no se han inscrito automáticamente.,PROBLEM,
S2 - Portal Dashboard - Applications Table - Heading Number,SEBT Application Tracking ID,PROBLEM,Número de seguimiento de la solicitud de SEBT,PROBLEM,
S2 - Portal Dashboard - Applications Table - Heading Date Submitted,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Applications Table - Heading Children Included,Children included in application,PROBLEM,Niños incluídos en la aplicación,PROBLEM,
S2 - Portal Dashboard - Applications Table - Heading Status,Status,PROBLEM,Estado,PROBLEM,
S2 - Portal Dashboard - Applications Table - Status Approved,Approved,PROBLEM,Aprobada,PROBLEM,
S2 - Portal Dashboard - Applications Table - Status Pending,In-process,PROBLEM,Pendiente ,PROBLEM,
S2 - Portal Dashboard - Applications Table - Status Denied,Denied,PROBLEM,Rechazao,PROBLEM,
S2 - Portal Dashboard - Alert Applications Title,"Currently, you have no children enrolled in Summer EBT or Summer EBT applications",PROBLEM,"Actualmente, no tienes niños inscritos en Summer EBT ni solicitudes de Summer EBT",PROBLEM,
S2 - Portal Dashboard - Alert Applications Body,"Come back to this dashboard in 1–2 business days if you've just applied, and your application isn't displayed.",PROBLEM,Vuelve a este portal mañana si acabas de enviar tu aplicación y tu solicitud y aún no aparece.,PROBLEM,
S2 - Portal Dashboard - Alert Applications Action,Apply for Summer EBT now,PROBLEM,Aplica para Summer EBT ahora ,PROBLEM,
S3 - Contact Preferences Update - Title,Your contact preferences,PROBLEM,Tus preferencias de contacto,PROBLEM,
S3 - Contact Preferences Update - Body,"If you choose email or text, we’ll continue to also mail notices to your physical address.",PROBLEM,"Si eliges correo electrónico o mensaje de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.",PROBLEM,
S3 - Contact Preferences Update - Label Language,Which language do you prefer to be contacted in?,PROBLEM,¿En qué idioma prefieres que te contacten?,PROBLEM,
S3 - Contact Preferences Update - Label Contact Preference,Would you like to get emails about your Summer EBT account?,PROBLEM,¿Te gustaría recibir correos electrónicos sobre tu cuenta de Summer EBT?,PROBLEM,
S3 - Contact Preferences Update - Label Email,What's your email address?,PROBLEM,¿Cómo prefieres que te contactemos?,PROBLEM,
S3 - Contact Preferences Update - Label Text Preference,Would you like get text messages about your Summer EBT account sent to ([999]) [999]-[9999]?,PROBLEM,¿Te gustaría recibir mensajes de texto sobre tu cuenta de Summer EBT al ([999]) [999]-[9999]?,PROBLEM,
S3 - Contact Preferences Update - Description Text Preference,This phone number needs to be able to receive text messages and can’t be changed.,PROBLEM,Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.,PROBLEM,
S3 - Contact Preferences Update - Label Phone,,PROBLEM,,PROBLEM,
S3 - Contact Preferences Update - Description Phone,,PROBLEM,,PROBLEM,
S3 - Contact Preferences Update - Action Update Contact,Update contact preferences,PROBLEM,Actualizar las preferencias de contacto,PROBLEM,
S3 - Parent Profile Update - Alert Profile Update,,PROBLEM,,PROBLEM,
S3 - Parent Profile Update - Title,,PROBLEM,,PROBLEM,
S3 - Parent Profile Update - Back,,PROBLEM,,PROBLEM,
S3 - Parent Profile Update - Heading Mailing Address,,PROBLEM,,PROBLEM,
S3 - Parent Profile Update - Label Preferred Mailing Address,,PROBLEM,,PROBLEM,
S3 - Parent Profile Update - Helper Preferred Mailing Address,,PROBLEM,,PROBLEM,
S3 - Parent Profile Update - Action Add Mailing Address,,PROBLEM,,PROBLEM,
S3 - Parent Profile Update - Edit Mailing Address,,PROBLEM,,PROBLEM,
S3 - Mailing Address Edit - Title,,PROBLEM,,PROBLEM,
S3 - Mailing Address Edit - Label Select Address,,PROBLEM,,PROBLEM,
S3 - Mailing Address Edit - Label Update or Delete,,PROBLEM,,PROBLEM,
S3 - Mailing Address Edit - Option Update,,PROBLEM,,PROBLEM,
S3 - Mailing Address Edit - Option Delete,,PROBLEM,,PROBLEM,
S3 - Confirm Delete Address - Title,,PROBLEM,,PROBLEM,
S3 - Parent Profile Update - Action Update Address,,PROBLEM,,PROBLEM,
S4 - Mailing Address Update - Title Your,Tell us where to safely send your mail,PROBLEM,Cuéntanos a qué dirección podemos enviarte tu correo de forma segura,PROBLEM,
S4 - Mailing Address Update - Helper Street Address,,PROBLEM,,PROBLEM,
S4 - Mailing Address Update - Alert Body,"There was an issue with the address provided. If you can, please enter a street address shorter than 30 characters.",PROBLEM,"Hubo un problema con la dirección que ingresaste. Si puedes, escribe una dirección de calle de menos de 30 caracteres.",PROBLEM,
S4 - Mailing Address Update - Alert Action,Contact us if you need more help.,PROBLEM,Contáctanos si necesitas más ayuda,PROBLEM,
S4 - Mailing Address Update - Validation Street Address,Enter a street address shorter than 30 characters.,PROBLEM,Escribe una dirección de calle de menos de 30 caracteres.,PROBLEM,
S4 - Abbreviated Address - Title,,PROBLEM,,PROBLEM,
S4 - Abbreviated Address - Body 1,,PROBLEM,,PROBLEM,
S4 - Abbreviated Address - Body 2,,PROBLEM,,PROBLEM,
S4 - Abbreviated Address - Body 3,,PROBLEM,,PROBLEM,
S4 - Abbreviated Address - Body 4,,PROBLEM,,PROBLEM,
S4 - Abbreviated Address - Action 1,,PROBLEM,,PROBLEM,
S4 - Abbreviated Address - Action 2,,PROBLEM,,PROBLEM,
S4 - Address Not Found - Title,Are you sure this address is correct?,PROBLEM,¿Estás seguro que esta dirección es correcta?,PROBLEM,
S4 - Address Not Found - Body,"We couldn't find the address you entered. To make sure we can send you mail or a Summer EBT card, please check the address. If it is correct, tap ""Use this address"".

If you want to make a change, tap ""Edit the address"".",PROBLEM,"No pudimos encontrar la dirección que ingresaste. Para asegurarnos de poder enviarte correo o tu tarjeta de Summer EBT, por favor revisa la dirección. Si es correcta, toca “Usar esta dirección”.

Si quieres hacer un cambio, toca “Editar la dirección”.",PROBLEM,
S4 - Address Not Found - Alert Title,Address you entered,PROBLEM,Dirección que ingresaste,PROBLEM,
S4 - Address Not Found - Alert Action,Edit the address,PROBLEM,Editar esta dirección,PROBLEM,
S4 - Address Not Found - Continue,Use this address,PROBLEM,Usar esta dirección,PROBLEM,
S4 - Address Not Found - Action Help,,PROBLEM,,PROBLEM,
S4 - Suggested Address - Title,Check the address,PROBLEM,Confirmar la dirección,PROBLEM,
S4 - Suggested Address - Body,"We updated the address you entered. If correct, use the suggested address.",PROBLEM,"Hemos actualizado la dirección que ingresaste. Si es correcta, selecciona la dirección sugerida.",PROBLEM,
S4 - Suggested Address - Label Select,Select the address to use,PROBLEM,Selecciona la dirección que quieres usar,PROBLEM,
S5 - Bulk Order New Cards - Title,Do you want to request replacement Summer EBT cards to be sent to this address?,PROBLEM,¿Quieres solicitar que las tarjetas Summer EBT de reemplazo sean enviadas a esta dirección?,PROBLEM,
S5 - Bulk Order New Cards - Body 1,We can send replacement cards if,PROBLEM,Podemos enviar tarjetas de reemplazo si,PROBLEM,
S5 - Bulk Order New Cards - Body 2,"You haven't received them in the mail after two weeks
Or you no longer have them",PROBLEM,"No las has recibido por correo después de dos semanas
o ya no las tienes",PROBLEM,
S5 - Bulk Order New Cards Confirm - Title,A few things to know before replacing Summer EBT cards,PROBLEM,Algunas cosas a tener en cuenta antes de reemplazar las tarjetas de Summer EBT,PROBLEM,
S5 - Bulk Order New Cards Confirm - Body,"Once replacement cards are created, the previous cards will be permanently deactivated
Cards will arrive by mail in around 7-10 business days
Any remaining balance on the previous card will automatically be rolled over to the replacement card",PROBLEM,"Una vez que se creen las tarjetas de reemplazo, las tarjetas anteriores se desactivarán permanentemente.
Las tarjetas llegarán por correo entre 5 y 7 días, aproximadamente.
Puedes verificar aquí cuándo se ha enviado la tarjeta.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo",PROBLEM,
S5 - Bulk Order New Cards Confirm - Summary Title,Card order summary,PROBLEM,Resumen del pedido de la tarjeta,PROBLEM,
S5 - Bulk Order New Cards Confirm - Summary Address,New cards will be mailed to the following address:,PROBLEM,Las nuevas tarjetas se enviarán por correo a la siguiente dirección:,PROBLEM,
S5 - Bulk Order New Cards Who - Title,Which cards need to be replaced?,PROBLEM,¿Cuáles tarjetas necesitan ser reemplazadas?,PROBLEM,
S5 - Bulk Order New Cards Who - Label Select Cards,Select which cards you want to replace,PROBLEM,Selecciona las tarjetas que deseas reemplazar,PROBLEM,
S5 - Bulk Order New Cards Who - Who's Card,[First name] [M.] [Last name]'s card,PROBLEM,Tarjeta de [First name] [M.] [Last name],PROBLEM,
S5 - Bulk Order New Cards Who - Card Number,Card number: [9999] (last 4 digits),PROBLEM,Número de tarjeta: [9999] (últimos 4 dígitos),PROBLEM,
S5 - Bulk Order New Cards Confirm - Action,Order cards,PROBLEM,Pedir tarjetas,PROBLEM,
S6 - Replacement Card - Pre-title,Replace card ending in [9999],PROBLEM,Reemplazar la tarjeta que termina en [9999],PROBLEM,
S6 - Replacement Card Address - Title,Do you want the new card mailed to this address?,PROBLEM,¿Deseas que el reemplazo de la tarjeta que termina en [9999] se envíe por correo a esta dirección?,PROBLEM,
S6 - Request Replacement Card FIS - Title,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Replace Card Body 1,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Replace Card Body 2,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Replace Card Body 3,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Replace Card Body 4,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Replace Card Body 5,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Action,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Keep Card,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Tap to Call,,PROBLEM,,PROBLEM,
S6 - Request Replacement Card FIS - Subtle Link,,PROBLEM,,PROBLEM,
S6 - Confirm Request Replacement Card - Title,A few things to know before replacing Summer EBT cards,PROBLEM,Ingresa tu correo electrónico y te enviaremos un código para entrar a tu cuenta de DC SUN Bucks,PROBLEM,
S6 - Confirm Request Replacement Card - Body,"Once a replacement card is created, the previous card will be permanently deactivated
Cards will arrive by mail in around 7-10 business days
Any remaining balance on the previous card will automatically be rolled over to the replacement card",PROBLEM,"Llama a servicios al cliente de EBT al (888) 328-2656 para solicitar el envío de una tarjeta de reemplazo a la dirección que aparece aquí. Las tarjetas llegarán por correo en aproximadamente 7 a 10 días hábiles.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo.",PROBLEM,
S6 - Confirm Request Replacement Card - Summary Title,Card order summary,PROBLEM,Resumen del pedido de tarjetas,PROBLEM,
S6 - Confirm Request Replacement Card - Summary Address,A new card will be mailed to the following address:,PROBLEM,Las nuevas tarjetas se enviarán por correo a la siguiente dirección:,PROBLEM,
S6 - Confirm Request Replacement Card - Action,Order card,PROBLEM,Pedir tarjetas,PROBLEM,
S7 - Pin Card - Title,Activate a card,PROBLEM,Activar una tarjeta,PROBLEM,
S7 - Pin Card - Body,"Your child's card is active when it's mailed to you. To make purchases, you will need to set the card's PIN number. You may call EBT Customer Service at (888) 328-2656 and follow the instructions to set the PIN number.

Enter the child's birthdate in the format MM-DD-YYYY (month-day-year).

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address it was mailed to.",PROBLEM,"La tarjeta de tu niño/a queda activa en el momento en que se envía por correo. Para hacer compras, tendrás que establecer el número de PIN de la tarjeta. Puedes llamar al Servicio al Cliente de EBT al (888) 328-2656 y seguir las instrucciones para establecer el PIN.

Ingresa la fecha de nacimiento de tu niño/a en el formato DD-MM-YYYY (día-mes-año).

Cuando se te pida que ingreses el código postal de la persona titular principal de la tarjeta, ingresa el código postal de la dirección a la que se envió por correo.",PROBLEM,
S7 - Pin Card - Action,Tap to call EBT Customer Service,PROBLEM,Toca la pantalla para llamar a servicios al cliente de EBT,PROBLEM,
S7 - Co-loaded Address Update - Title,,PROBLEM,,PROBLEM,
S7 - Co-loaded Address Update - Body 1,,PROBLEM,,PROBLEM,
S7 - Co-loaded Address Update - Body 2,,PROBLEM,,PROBLEM,
S7 - Co-loaded Address Update - Action 2,,PROBLEM,,PROBLEM,
S7 - Co-loaded Address Update - Body 3,,PROBLEM,,PROBLEM,
S7 - Co-loaded Address Update - Action 3,,PROBLEM,,PROBLEM,
S8 - OTP Enter Email - Title,,PROBLEM,,PROBLEM,
S8 - OTP Enter Email - Body,,PROBLEM,,PROBLEM,
S8 - OTP Enter Email - Label Email,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Title,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Label Code,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Label Digit 1,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Label Digit 2,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Label Digit 3,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Label Digit 4,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Label Digit 5,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Label Digit 6,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Invalid Error Message,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Action Resend,,PROBLEM,,PROBLEM,
S8 - OTP Confirm - Action Confirm,,PROBLEM,,PROBLEM,
S8 - OTP Email Message - Sender,,PROBLEM,,PROBLEM,
S8 - OTP Email Message - Subject,,PROBLEM,,PROBLEM,
S8 - OTP Email Message - Body 1,,PROBLEM,,PROBLEM,
S8 - OTP Email Message - Body 2,,PROBLEM,,PROBLEM,
S8 - OTP Email Message - Body 3,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Title,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Body,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Label DOB,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Label ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Helper ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Option Label SSN,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Option Label ITIN,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Option Label Medicaid ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Option Helper Medicaid ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Option Account ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Option Helper Account ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Option Person ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Option Helper Person ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Label SSN,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Label ITIN,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Label Medicaid ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Label Account ID,,PROBLEM,,PROBLEM,
S8 - ID Proofing Optional ID Info - Label Person ID,,PROBLEM,,PROBLEM,
S8 - Opt-in - Label Email,,PROBLEM,,PROBLEM,
S8 - Opt-in - Helper Email,,PROBLEM,,PROBLEM,
S8 - Opt-in - Label DOB,,PROBLEM,,PROBLEM,
S8 - Opt-in - Helper DOB,,PROBLEM,,PROBLEM,
S8 - Opt-in - Label Contact Preference,,PROBLEM,,PROBLEM,
S8 - Opt-in - Option Helper Phone,,PROBLEM,,PROBLEM,
S8 - Opt-in - Label Enter Phone,,PROBLEM,,PROBLEM,
S8 - Opt-in - Label Text,,PROBLEM,,PROBLEM,
S8 - Off-boarding - Title,,PROBLEM,,PROBLEM,
S8 - Off-boarding - Body 1,,PROBLEM,,PROBLEM,
S8 - Off-boarding - Body 2,,PROBLEM,,PROBLEM,
S8 - Off-boarding - Body 3,,PROBLEM,,PROBLEM,
S8 - Off-boarding - Action,,PROBLEM,,PROBLEM,
S8 - Co-loaded Off-boarding - Title,"We're sorry, we aren't able to show your Summer EBT information ",PROBLEM,"Lo sentimos, no podemos mostrar tu información de Summer EBT",PROBLEM,
S8 - Co-loaded Off-boarding - Body 1,You can contact us if you need more help.,PROBLEM,Puedes contactarnos si necesitas más ayuda.,PROBLEM,
S8 - Co-loaded Off-boarding - Action 1,Contact us,PROBLEM,Contáctanos,PROBLEM,
S8 - Co-loaded Off-boarding - Body 2,"If you’re not sure what to do, or you want to apply for Summer EBT, we can help you find out if you need to apply for your child. Tap “Apply now” and enter your child’s information.",PROBLEM,"Si no estás seguro de qué hacer, o si quieres aplicar para Summer EBT, te podemos ayudar a saber si necesitas aplicar para tu niño/a. Toca “Aplica ahora” y escribe la información de tu niño/a.",PROBLEM,
S8 - Co-loaded Off-boarding - Action 2,Apply now,PROBLEM,Aplica ahora,PROBLEM,
S8 - Authentication Failure - Alert,"We were unable to finish signing you into your myColorado® account. Please, try again.",PROBLEM,"No pudimos terminar de iniciar tu sesión en tu cuenta de myColorado®. Por favor, inténtalo de nuevo.",PROBLEM,
S9 - Opt-in - Title,Would you like to get Summer EBT communication through email or SMS text?,PROBLEM,¿Te gustaría recibir los avisos de Summer EBT por correo electrónico o por mensaje de texto (SMS)?,PROBLEM,
S9 - Opt-in - Body,"If you choose email or text, we’ll continue to also mail notices to your physical address.",PROBLEM,"Si eliges correo electrónico o mensajes de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.",PROBLEM,
S9 - Opt-in - Text Description,Select this option if you want to be messaged at ([999]) [999]-[9999]. This phone number needs to be able to receive text messages and can’t be changed.,PROBLEM,"Selecciona esta opción si quieres que te mandemos mensajes al ([999]) [999]-[9999]. Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.
",PROBLEM,
S9 - Sign In - Alert,"Just a moment, we're signing you in",PROBLEM,"Un momento, estamos iniciando tu sesión",PROBLEM,
S9 - Email - Title,Is [email]@[domain] the best email address to use?,PROBLEM,¿[email]@[domain] es el mejor correo electrónico para usar?,PROBLEM,
S9 - Email - Title 2,What's your email address?,PROBLEM,¿Cuál es tu correo electrónico?,PROBLEM,
S9 - Email - Body,,PROBLEM,,PROBLEM,
S9 - Enter Email - Enter Label,Enter your email,PROBLEM,Ingresa tu correo electrónico,PROBLEM,
S9 - Enter Email - Confirm Label,Confirm email address,PROBLEM,Confirma tu correo electrónico,PROBLEM,
S9 - Text - Title,,PROBLEM,,PROBLEM,
S9 - Text - Which Phone Label,,PROBLEM,,PROBLEM,
S9 - Text - Enter Label,,PROBLEM,,PROBLEM,
S9 - Text - Enter Helper,,PROBLEM,,PROBLEM,
S9 - Text - Confirm Label,,PROBLEM,,PROBLEM,
S9 - Language - Title,Which language do you prefer to be contacted in?,PROBLEM,¿En qué idioma prefieres que te contactemos?,PROBLEM,
S9 - Language - Label Select Language,Select a language,PROBLEM,Selecciona un idioma,PROBLEM,
S9 - Language - Action,Continue to the portal,PROBLEM,Continuar a mi cuenta,PROBLEM,
S10 - Step-up Disclaimer - Title,"To help keep your account safe, we need to confirm it’s really you",PROBLEM,"Para ayudar a mantener tu cuenta segura, necesitamos confirmar que realmente eres tú.",PROBLEM,
S10 - Step-up Disclaimer - Body,We need to share some information with our third-party vendor to verify your identity. We will do this only once and will not share or save anything without your permission.,PROBLEM,Necesitamos compartir cierta información con nuestro proveedor externo para verificar tu identidad. Solo haremos esto una vez y no compartiremos ni guardaremos nada sin tu permiso.,PROBLEM,
S10 - Step-up Disclaimer - Action,Verify,PROBLEM,Verifica,PROBLEM,
S10 - Step-up Processing - Title,Please wait...,PROBLEM,"Por favor, espera...",PROBLEM,
S10 - Step-up Processing - Body,Do not exit the page. Checking to see if we have enough information.,PROBLEM,No salgas de la página. Estamos verificando si tenemos suficiente información.,PROBLEM,
S10 - Step-up Failure - Title,"We're sorry, we aren't able to show your Summer EBT information",PROBLEM,"Lo sentimos, no podemos mostrar tu información de Summer EBT",PROBLEM,
S10 - Step-up Failure - Body,You can contact us if you need more help.,PROBLEM,Puedes contactarnos si necesitas más ayuda.,PROBLEM,
S10 - Step-up Failure - Action,Contact us,PROBLEM,Contáctanos,PROBLEM,
GLOBAL - Program Name,Summer EBT,PROBLEM,Summer EBT,PROBLEM,
GLOBAL - Banner Image Alt Text,Logo: Colorado Deptartment of Human Services,PROBLEM,Logo: Nombre de la agencia,PROBLEM,
GLOBAL - Language,,PROBLEM,,PROBLEM,
GLOBAL - Label - Languages,,PROBLEM,,PROBLEM,
GLOBAL - Label - Translate,Translate,PROBLEM,Traducir,PROBLEM,
GLOBAL - Options - Languages,"English
Español (Spanish)",PROBLEM,"English (Inglés)
Español",PROBLEM,
GLOBAL - Language - English,English,PROBLEM,Inglés (English),PROBLEM,
GLOBAL - Language - Español,Español (Spanish),PROBLEM,Español,PROBLEM,
GLOBAL - Language - Amharic,,PROBLEM,,PROBLEM,
GLOBAL - Address Format,"[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]",PROBLEM,"[Dirección linea 1]
[Dirección linea 2]
[Ciudad], [Estado] [Código postal]",PROBLEM,
GLOBAL - Label First name,First name,PROBLEM,Nombre,PROBLEM,
GLOBAL - Helper Text - Legally as it appears,"Legally as it appears on official documents, e.g. birth certificate",PROBLEM,"Legalmente como aparece en documentos oficiales, ej. acta de nacimiento.",PROBLEM,
GLOBAL - Label Middle name,Middle name,PROBLEM,Segundo nombre,PROBLEM,
GLOBAL - Helper Text - Optional,Optional. If they have one.,PROBLEM,Opcional. Si tiene uno.,PROBLEM,
GLOBAL - Label Last name,Last name,PROBLEM,Apellido,PROBLEM,
GLOBAL - Action - Continue,Continue,PROBLEM,Continuar,PROBLEM,
GLOBAL - Action - Submit,Submit,PROBLEM,Enviar,PROBLEM,
GLOBAL - Placeholder - Select one,- Select one -,PROBLEM,- Selecciona una opción-,PROBLEM,
GLOBAL - Options - January - February,"January

February

March

April

May

June

July

August

September

October

November

December",PROBLEM,"enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre",PROBLEM,
GLOBAL - Options - January,January,PROBLEM,enero,PROBLEM,
GLOBAL - Options - February,February,PROBLEM,febrero,PROBLEM,
GLOBAL - Options - March,March,PROBLEM,marzo,PROBLEM,
GLOBAL - Options - April,April,PROBLEM,abril,PROBLEM,
GLOBAL - Options - May,May,PROBLEM,mayo,PROBLEM,
GLOBAL - Options - June,June,PROBLEM,junio,PROBLEM,
GLOBAL - Options - July,July,PROBLEM,julio,PROBLEM,
GLOBAL - Options - August,August,PROBLEM,agosto,PROBLEM,
GLOBAL - Options - September,September,PROBLEM,septiembre,PROBLEM,
GLOBAL - Options - October,October,PROBLEM,octubre,PROBLEM,
GLOBAL - Options - November,November,PROBLEM,noviembre,PROBLEM,
GLOBAL - Options - December,December,PROBLEM,diciembre,PROBLEM,
GLOBAL - Option - None of the above,None of the above,PROBLEM,Ninguna de las anteriores,PROBLEM,
GLOBAL - Required Fields,Asterisks (*) indicate a required field.,PROBLEM,Los asteriscos (*) indican que es un campo requerido.,PROBLEM,
GLOBAL - Helper Select at least one,Select at least one option.,PROBLEM,Seleccions por lo menos una opción.,PROBLEM,
GLOBAL - Email,Email,PROBLEM,Correo electrónico,PROBLEM,
GLOBAL - Phone,Phone,PROBLEM,Teléfono,PROBLEM,
GLOBAL - Physical mail,Physical mail,PROBLEM,Correo físico,PROBLEM,
GLOBAL - Email address,Email address,PROBLEM,Correo electrónico,PROBLEM,
GLOBAL - Phone number,Phone number,PROBLEM,Número de teléfono,PROBLEM,
GLOBAL - Label Send Cards to Preferred Address,Do you want us to send Summer EBT cards for all of your enrolled children to your preferred address?,PROBLEM,¿Quieres que enviemos las tarjetas Summer EBT para todos los niños inscritos a tu dirección de preferencia?,PROBLEM,
GLOBAL - Co-loaded Card Helper,,PROBLEM,,PROBLEM,
GLOBAL - Co-loaded Card Helper Link,,PROBLEM,,PROBLEM,
GLOBAL - Yes,Yes,PROBLEM,Sí,PROBLEM,
GLOBAL - No,No,PROBLEM,No,PROBLEM,
GLOBAL - Action - Back,Back,PROBLEM,Regresar,PROBLEM,
GLOBAL - Label - Select One,Select one,PROBLEM,Selecciona una opción,PROBLEM,
GLOBAL - Street Address,Street address,PROBLEM,Dirección,PROBLEM,
GLOBAL - Helper Street Address,,PROBLEM,,PROBLEM,
GLOBAL - Street Address 2,Street address line 2,PROBLEM,"Dirección, línea 2",PROBLEM,
GLOBAL - Helper Street Address 2,"For example, an apartment number, unit number, floor, or PO Box.",PROBLEM,"Por ejemplo, número de apartamento, número de unidad, piso o apartado postal",PROBLEM,
GLOBAL - City,City,PROBLEM,Ciudad,PROBLEM,
GLOBAL - Default City,,PROBLEM,,PROBLEM,
GLOBAL - State or Territory,State or territory,PROBLEM,Estado o territorio,PROBLEM,
GLOBAL - Default State or Territory,Colorado,PROBLEM,Colorado,PROBLEM,
GLOBAL - ZIP Code,ZIP Code,PROBLEM,Código postal,PROBLEM,
GLOBAL - Label Make Preferred Mailing Address,Do you want to make this your preferred mailing address?,PROBLEM,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,PROBLEM,
GLOBAL - Apply Online,Continue your application,PROBLEM,Continua tu aplicación,PROBLEM,
GLOBAL - Apply Online Link,https://peak.my.site.com/SEBT/s/?language=en_US,PROBLEM,https://peak.my.site.com/SEBT/s/?language=en_US,PROBLEM,
GLOBAL - Sign Up,,PROBLEM,,PROBLEM,
GLOBAL - Download Application,,PROBLEM,,PROBLEM,
GLOBAL - Action - Log In,Sign in with myColorado®,PROBLEM,Iniciar con myColorado®,PROBLEM,
GLOBAL - Action - Log In Esp,Iniciar con myColorado®,PROBLEM,Sign in with myColorado®,PROBLEM,
GLOBAL - Label - Suggested Address,Suggested address,PROBLEM,Dirección sugerida,PROBLEM,
GLOBAL - Label - Address Entered,Address you entered,PROBLEM,La dirección que ingresaste,PROBLEM,
GLOBAL - Label - Select All,Select all that apply,PROBLEM,Selecciona todas las que correspondan,PROBLEM,
GLOBAL - Text,Text,PROBLEM,Texto,PROBLEM,
GLOBAL - Link FAQs,,PROBLEM,,PROBLEM,
GLOBAL - Title Contact Us,Summer EBT Help Desk,PROBLEM,Línea de ayuda de Summer EBT,PROBLEM,
GLOBAL - Link Contact Us,Email the Summer EBT Help Desk at,PROBLEM,Envía un correo electrónico a la Línea de ayuda de Summer EBT a,PROBLEM,
GLOBAL - Link Contact Us 2,cdhs_sebt_supportcenter@state.co.us,PROBLEM,cdhs_sebt_supportcenter@state.co.us,PROBLEM,
GLOBAL - Link Public Notices,General Notices,PROBLEM,Avisos generales,PROBLEM,
GLOBAL - Title Accessibility,Accessibility at CDHS,PROBLEM,Accesibilidad en CDHS,PROBLEM,
